,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
53,669,NNl,1,I,LAT,N?,6,614,61438,2,2,2,1,1,1,1,1,1
54,673,NNl,1,I,LAT,N?,6,614,61438,2,2,2,1,1,1,1,1,1
55,674,NNl,1,I,LAT,N?,6,614,61438,2,2,2,1,1,1,1,1,1
56,675,NNl,1,I,LAT,N?,6,614,61438,2,2,2,1,1,1,1,1,1
57,676,NNlXXlXxg,3,I,LAT,N?,0,00,000,81,64,36,12,8,5,3,2,2
58,683,NNl,1,N,LAT,N,5,52,520,2,2,2,1,1,1,1,1,1
59,692,NNlNNl,2,N,LAT,N,5,52,520,19,14,7,2,2,1,1,1,1
60,696,IIl,1,I,LAT,I,8,80,8015,3,3,3,1,1,1,1,1,1
61,697,IIlNNlXXl,3,I,LAT,N?,8,80,8015,66,51,29,9,6,4,3,2,2
62,700,IIlXXl,2,I,LAT,I,8,80,8037,14,11,5,2,2,1,1,1,1
63,707,NNl,1,I,LAT,N?,9,98,986,2,2,2,1,1,1,1,1,1
64,720,IIlNNl,2,N,LAT,N,0,00,000,18,13,6,2,2,1,1,1,1
65,721,NNl,1,I,LAT,N?,6,614,61438,2,2,2,1,1,1,1,1,1
66,726,NNlNNl,2,N,LAT,N,9,99,990,19,14,7,2,2,1,1,1,1
67,728,IIl,1,I,LAT,I,9,97,974,3,3,3,1,1,1,1,1,1
68,732,IIlXXl,2,X,LAT,NUM,9,96,965,14,11,5,2,2,1,1,1,1
69,734,XXlXxg,2,X,LAT,NUM,8,80,8015,25,18,9,3,3,1,1,1,1
70,744,NNlXXl,2,I,LAT,NUM?,5,52,520,21,15,7,2,2,1,1,1,1
71,752,NNlPPlNng,3,n,GRA,N,6,613,61316,83,66,37,12,8,5,3,2,2
72,753,IIlIIlNNl,3,N,LAT,N,9,97,9720,64,49,29,9,6,4,3,2,2
73,768,NNlNNl,2,I,LAT,N?,8,80,8015,19,14,7,2,2,1,1,1,1
74,769,NNlNNl,2,I,LAT,N?,8,80,8015,19,14,7,2,2,1,1,1,1
75,770,NNlNNl,2,I,LAT,N?,5,52,520,19,14,7,2,2,1,1,1,1
76,771,NNlNNl,2,I,LAT,N?,5,52,520,19,14,7,2,2,1,1,1,1
77,772,NNlNNl,2,I,LAT,N?,9,92,9218,19,14,7,2,2,1,1,1,1
78,779,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
79,780,NNl,1,N,LAT,N,9,98,984,2,2,2,1,1,1,1,1,1
80,783,NNl,1,I,LAT,N?,0,00,000,2,2,2,1,1,1,1,1,1
81,787,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
82,797,NNlXXl,2,I,LAT,NUM?,0,00,000,21,15,7,2,2,1,1,1,1
83,811,IIlXXlIig,3,I,LAT,NUM?,8,80,8015,73,57,32,11,7,5,3,2,2
84,812,IIl,1,I,LAT,I,6,615,61520,3,3,3,1,1,1,1,1,1
85,826,NNlXXl,2,I,LAT,NUM?,8,82,8221,21,15,7,2,2,1,1,1,1
86,838,IIlIIlNNl,3,I,LAT,I,0,00,000,64,49,29,9,6,4,3,2,2
87,842,IIlIIl,2,I,LAT,I,8,80,8015,15,11,5,2,2,1,1,1,1
88,869,IIl,1,I,LAT,I,6,614,61438,3,3,3,1,1,1,1,1,1
89,893,NNl,1,I,LAT,N?,0,00,000,2,2,2,1,1,1,1,1,1
90,902,IIlNNl,2,I,LAT,I,0,00,000,18,13,6,2,2,1,1,1,1
91,913,XXl,1,I,LAT,NUM?,5,52,520,4,4,3,1,1,1,1,1,1
92,956,Nng,1,n,GRA,N,9,95,950,1,1,1,1,1,1,1,1,1
93,957,Iig,1,i,GRA,I,0,00,000,8,7,4,1,1,1,1,1,1
94,963,Nng,1,n,GRA,N,5,52,520,1,1,1,1,1,1,1,1,1
95,970,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
96,971,IigNng,2,n,GRA,N,5,52,521,36,27,14,4,3,1,1,1,1
97,972,Iig,1,i,GRA,I,8,80,8015,8,7,4,1,1,1,1,1,1
98,973,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
99,974,Nng,1,n,GRA,N,6,613,61316,1,1,1,1,1,1,1,1,1
100,975,Nng,1,n,GRA,N,5,52,520,1,1,1,1,1,1,1,1,1
101,976,IigNng,2,n,GRA,N,5,52,520,36,27,14,4,3,1,1,1,1
102,977,IigNng,2,n,GRA,N,6,613,61316,36,27,14,4,3,1,1,1,1
103,978,IigNngPpg,3,n,GRA,N,6,613,61316,95,76,41,14,8,5,3,2,2
104,979,IigNngPpg,3,n,GRA,N,6,613,61316,95,76,41,14,8,5,3,2,2
105,980,IigNngPpg,3,n,GRA,N,6,613,61316,95,76,41,14,8,5,3,2,2
106,981,IigNngPpg,3,n,GRA,N,6,613,61316,95,76,41,14,8,5,3,2,2
107,982,NngPpgXxg,3,n,GRA,N,6,613,61316,87,69,38,13,8,5,3,2,2
108,995,IigNng,2,i,GRA,N?,9,95,950,36,27,14,4,3,1,1,1,1
109,1002,IigNngPpg,3,n,GRA,N,0,00,000,95,76,41,14,8,5,3,2,2
110,1004,Ppg,1,p,GRA,P,6,614,61438,11,9,4,1,1,1,1,1,1
111,1005,IigPpg,2,i,GRA,I,8,80,805,24,17,8,3,3,1,1,1,1
112,1030,NNlNNlIigPpg,4,i,GRA,P?,0,00,000,58,45,26,8,5,3,2,2,2
113,1032,XXlIig,2,X,LAT,NUM,8,80,8015,27,20,10,3,3,1,1,1,1
114,1033,XXlIig,2,i,GRA,I,8,82,8239,27,20,10,3,3,1,1,1,1
115,1047,XXlIig,2,I,LAT,NUM?,6,613,61313,27,20,10,3,3,1,1,1,1
116,1057,Nng,1,n,GRA,N,5,51,5118,1,1,1,1,1,1,1,1,1
117,1058,Nng,1,n,GRA,N,5,52,520,1,1,1,1,1,1,1,1,1
118,1059,Nng,1,n,GRA,N,5,52,520,1,1,1,1,1,1,1,1,1
119,1060,Nng,1,n,GRA,N,6,616,61611,1,1,1,1,1,1,1,1,1
120,1062,IigNng,2,n,GRA,N,5,52,520,36,27,14,4,3,1,1,1,1
121,1063,IigNng,2,n,GRA,N,5,52,520,36,27,14,4,3,1,1,1,1
122,1064,IigNng,2,n,GRA,N,6,616,61611,36,27,14,4,3,1,1,1,1
123,1080,NNlXXl,2,X,LAT,NUM,6,613,61316,21,15,7,2,2,1,1,1,1
124,1086,Nng,1,n,GRA,N,8,80,8015,1,1,1,1,1,1,1,1,1
125,1089,Nng,1,n,GRA,N,5,52,5218,1,1,1,1,1,1,1,1,1
126,1090,Nng,1,n,GRA,N,5,52,521,1,1,1,1,1,1,1,1,1
127,1091,Nng,1,n,GRA,N,5,52,521,1,1,1,1,1,1,1,1,1
128,1092,Nng,1,n,GRA,N,5,52,521,1,1,1,1,1,1,1,1,1
129,1093,Nng,1,n,GRA,N,5,52,521,1,1,1,1,1,1,1,1,1
130,1096,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
131,1097,Nng,1,n,GRA,N,9,97,974,1,1,1,1,1,1,1,1,1
132,1098,Nng,1,n,GRA,N,6,65,657,1,1,1,1,1,1,1,1,1
133,1099,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
134,1100,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
135,1101,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
136,1103,NngXxg,2,n,GRA,N,9,92,9217,39,30,15,4,3,1,1,1,1
137,1104,IIlNng,2,I,LAT,I,9,92,9217,32,23,12,4,3,1,1,1,1
138,1105,Nng,1,n,GRA,N,9,92,9217,1,1,1,1,1,1,1,1,1
139,1106,Nng,1,n,GRA,N,9,92,9217,1,1,1,1,1,1,1,1,1
140,1107,NngXxg,2,n,GRA,N,9,92,9217,39,30,15,4,3,1,1,1,1
141,1108,NngXxgXxg,3,i,GRA,NUM?,9,92,9217,88,69,38,13,8,5,3,2,2
142,1109,IigNng,2,i,GRA,I,9,92,9217,36,27,14,4,3,1,1,1,1
143,1110,IigNng,2,i,GRA,I,9,92,9217,36,27,14,4,3,1,1,1,1
144,1111,Nng,1,n,GRA,N,6,613,61316,1,1,1,1,1,1,1,1,1
145,1112,Nng,1,n,GRA,N,6,613,61316,1,1,1,1,1,1,1,1,1
146,1121,Nng,1,n,GRA,N,8,80,8015,1,1,1,1,1,1,1,1,1
147,1125,Nng,1,n,GRA,N,0,00,000,1,1,1,1,1,1,1,1,1
148,1127,IigXxg,2,n,GRA,N,0,00,000,22,16,8,3,3,1,1,1,1
149,1128,NngXxgXxg,3,n,GRA,N,0,00,000,88,69,38,13,8,5,3,2,2
150,1129,NngXxg,2,n,GRA,N,6,615,6156,39,30,15,4,3,1,1,1,1
151,1130,NngXxgXxg,3,n,GRA,N,0,00,000,88,69,38,13,8,5,3,2,2
152,1131,NngXxgXxg,3,n,GRA,N,0,00,000,88,69,38,13,8,5,3,2,2
153,1132,SSSNngXxgXxgXxg,5,S,\N,S,6,613,61316,100,81,46,18,10,7,4,3,3
154,1133,NngXxgXxg,3,i,GRA,NUM?,0,00,000,88,69,38,13,8,5,3,2,2
155,1151,IigIig,2,i,GRA,I,0,00,000,23,17,8,3,3,1,1,1,1
156,1156,XXlIigNng,3,n,GRA,N,0,00,000,90,71,39,14,8,5,3,2,2
157,1163,IigIig,2,i,GRA,I,6,613,61316,23,17,8,3,3,1,1,1,1
158,1165,IigXxg,2,i,GRA,NUM?,0,00,000,22,16,8,3,3,1,1,1,1
159,1169,NngXxg,2,x,GRA,NUM,0,00,000,39,30,15,4,3,1,1,1,1
160,1174,NngNngNngNngPpg,5,n,GRA,N,5,52,520,98,79,44,16,10,7,4,3,3
161,1175,NNlNngNngNngPpgXxg,6,n,GRA,N,0,00,000,96,77,42,15,9,6,4,3,3
162,1176,NngPpg,2,p,GRA,P,5,52,520,38,29,15,4,3,1,1,1,1
163,1177,NngPpg,2,n,GRA,N,0,00,000,38,29,15,4,3,1,1,1,1
164,1178,NngPpgXxg,3,n,GRA,N,8,80,8015,87,69,38,13,8,5,3,2,2
165,1179,NngPpg,2,n,GRA,N,5,52,520,38,29,15,4,3,1,1,1,1
166,1180,NngPpg,2,n,GRA,N,6,614,61412,38,29,15,4,3,1,1,1,1
167,1181,NngPpgXxg,3,p,GRA,P,8,80,8015,87,69,38,13,8,5,3,2,2
168,1182,NngPpg,2,p,GRA,P,5,52,520,38,29,15,4,3,1,1,1,1
169,1183,NngNngPpg,3,x,GRA,NUM,6,613,61316,91,72,40,14,8,5,3,2,2
170,1184,NngPpg,2,n,GRA,N,0,00,000,38,29,15,4,3,1,1,1,1
171,1185,NngPpgXxg,3,n,GRA,N,5,52,520,87,69,38,13,8,5,3,2,2
172,1190,XXlNngPpgXxg,4,X,LAT,NUM,6,613,61316,40,31,16,5,4,2,2,2,2
173,1191,...Ppg,2,...,\N,...,5,52,520,29,21,11,3,3,1,1,1,1
174,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000,88,69,38,13,8,5,3,2,2
175,1196,NngXxgXxg,3,n,GRA,N,8,82,8239,88,69,38,13,8,5,3,2,2
176,1210,IigXxg,2,i,GRA,NUM?,6,613,61316,22,16,8,3,3,1,1,1,1
177,1211,NngPpg,2,n,GRA,N,5,52,527,38,29,15,4,3,1,1,1,1
178,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000,41,32,16,5,4,2,2,2,2
179,1223,Nng,1,n,GRA,N,8,80,8015,1,1,1,1,1,1,1,1,1
180,1226,Xxg,1,i,GRA,NUM?,5,52,520,9,8,4,1,1,1,1,1,1
181,1227,Xxg,1,i,GRA,NUM?,5,52,520,9,8,4,1,1,1,1,1,1
182,1228,Xxg,1,i,GRA,NUM?,5,52,520,9,8,4,1,1,1,1,1,1
183,1229,Xxg,1,i,GRA,NUM?,5,52,520,9,8,4,1,1,1,1,1,1
184,1230,Xxg,1,i,GRA,NUM?,5,52,520,9,8,4,1,1,1,1,1,1
185,1240,IigXxg,2,i,GRA,NUM?,0,00,000,22,16,8,3,3,1,1,1,1
186,1241,IigNngXxg,3,i,GRA,NUM?,0,00,000,93,74,41,14,8,5,3,2,2
187,1245,NngNng,2,i,GRA,N?,9,96,965,37,28,15,4,3,1,1,1,1
188,1246,NngNng,2,i,GRA,N?,9,98,984,37,28,15,4,3,1,1,1,1
189,1247,NngNng,2,i,GRA,N?,6,616,61612,37,28,15,4,3,1,1,1,1
190,1259,NngXxgXxgXxg,4,n,GRA,N,5,52,520,43,34,17,5,4,2,2,2,2
191,1262,NngXxg,2,i,GRA,NUM?,9,96,964,39,30,15,4,3,1,1,1,1
192,1263,IigNng,2,i,GRA,I,5,52,5218,36,27,14,4,3,1,1,1,1
193,1273,IigNng,2,i,GRA,I,5,52,520,36,27,14,4,3,1,1,1,1
194,1280,NngNng,2,n,GRA,N,6,613,61316,37,28,15,4,3,1,1,1,1
195,1283,IigIig,2,i,GRA,I,1,12,1220,23,17,8,3,3,1,1,1,1
196,1284,IigIig,2,i,GRA,I,1,12,1220,23,17,8,3,3,1,1,1,1
197,1285,IigIig,2,i,GRA,I,1,12,1220,23,17,8,3,3,1,1,1,1
198,1294,Iig,1,i,GRA,I,6,615,61522,8,7,4,1,1,1,1,1,1
199,1297,IigXxg,2,x,GRA,NUM,5,52,520,22,16,8,3,3,1,1,1,1
200,1300,Nng,1,n,GRA,N,8,82,8229,1,1,1,1,1,1,1,1,1
201,1301,IigNng,2,n,GRA,N,8,80,8015,36,27,14,4,3,1,1,1,1
202,1304,NngXxg,2,n,GRA,n,6,613,61316,39,30,15,4,3,1,1,1,1
203,1305,NNlNngNng,3,n,GRA,N,6,614,61438,78,61,35,12,8,5,3,2,2
204,1306,NNlNngNng,3,n,GRA,N,6,614,61438,78,61,35,12,8,5,3,2,2
205,1307,NNlNngNng,3,n,GRA,N,6,614,61438,78,61,35,12,8,5,3,2,2
206,1308,NNlNngNng,3,n,GRA,N,6,614,61438,78,61,35,12,8,5,3,2,2
207,1309,IigXxg,2,i,GRA,NUM?,6,614,61438,22,16,8,3,3,1,1,1,1
208,1310,NNlNngNng,3,I,LAT,N?,6,614,61438,78,61,35,12,8,5,3,2,2
209,1311,NNlNngNng,3,I,LAT,N?,6,614,61438,78,61,35,12,8,5,3,2,2
210,1312,IigXxg,2,i,GRA,NUM?,6,614,61438,22,16,8,3,3,1,1,1,1
211,1315,NngXxg,2,i,GRA,NUM?,9,98,986,39,30,15,4,3,1,1,1,1
212,1316,Nng,1,i,GRA,N?,0,00,000,1,1,1,1,1,1,1,1,1
213,1317,IIlNngNngXxg,4,i,GRA,NUM?,9,99,990,47,36,19,5,4,2,2,2,2
214,1319,Iig,1,i,GRA,I,5,52,520,8,7,4,1,1,1,1,1,1
215,1330,IigXxg,2,i,GRA,NUM?,0,00,000,22,16,8,3,3,1,1,1,1
216,1332,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
217,1333,IIlNNlNng,3,N,LAT,N,0,00,000,59,46,27,9,6,4,3,2,2
218,1334,NNlNngNngXxg,4,N,LAT,N,0,00,000,46,35,18,5,4,2,2,2,2
219,1335,NNlNngXxgXxg,4,N,LAT,N,0,00,000,44,35,18,5,4,2,2,2,2
220,1352,Xxg,1,i,GRA,NUM?,0,00,000,9,8,4,1,1,1,1,1,1
221,1353,IIl,1,I,LAT,I,0,00,000,3,3,3,1,1,1,1,1,1
222,1373,...IigIig,3,...,\N,...,0,00,000,69,54,31,10,7,5,3,2,2
223,1411,Ccg,1,c,GRA,C,5,52,520,10,9,4,1,1,1,1,1,1
224,1412,Ccg,1,c,GRA,C,5,52,520,10,9,4,1,1,1,1,1,1
225,1417,NNlPPlPpg,3,N,LAT,N,0,00,000,86,68,37,12,8,5,3,2,2
226,1421,NNlNNlIig,3,N,LAT,N,5,52,520,85,67,37,12,8,5,3,2,2
227,1426,IIlIIlNNlSSSXXlIig,6,S,\N,S,5,51,5115,102,83,48,20,12,9,6,4,4
228,1427,IIlNNl,2,I,LAT,I,5,52,520,18,13,6,2,2,1,1,1,1
229,1428,IIlNNlXXlXxg,4,I,LAT,I,9,98,986,56,43,24,7,5,3,2,2,2
230,1436,IigIig,2,i,GRA,I,1,110,1107,23,17,8,3,3,1,1,1,1
231,1446,NngXxg,2,n,GRA,N,1,18,180,39,30,15,4,3,1,1,1,1
232,1447,Nng,1,n,GRA,N,1,18,180,1,1,1,1,1,1,1,1,1
233,1448,Nng,1,n,GRA,N,1,18,180,1,1,1,1,1,1,1,1,1
234,1449,Nng,1,n,GRA,N,1,18,180,1,1,1,1,1,1,1,1,1
235,1453,Nng,1,i,GRA,N?,1,18,181,1,1,1,1,1,1,1,1,1
236,1460,Iig,1,i,GRA,I,1,110,11013,8,7,4,1,1,1,1,1,1
237,1461,Iig,1,i,GRA,I,1,18,1817,8,7,4,1,1,1,1,1,1
238,1481,Iig,1,i,GRA,I,1,18,1815,8,7,4,1,1,1,1,1,1
239,1495,XxgXxg,2,i,GRA,NUM?,3,31,315,26,19,9,3,3,1,1,1,1
240,1496,XxgXxg,2,i,GRA,NUM?,1,110,1107,26,19,9,3,3,1,1,1,1
241,1500,NngXxg,2,i,GRA,NUM?,1,18,1818,39,30,15,4,3,1,1,1,1
242,1502,NNl,1,N,LAT,N,extra moe0ia,extra moe0ia0,extra moe0ia00,2,2,2,1,1,1,1,1,1
243,1503,NNlNngNng,3,i,GRA,N?,1,18,180,78,61,35,12,8,5,3,2,2
244,1504,NNlNngNng,3,i,GRA,N?,1,18,180,78,61,35,12,8,5,3,2,2
245,1505,NNlNngNng,3,i,GRA,N?,1,18,180,78,61,35,12,8,5,3,2,2
246,1506,NNlNngNng,3,i,GRA,N?,1,18,180,78,61,35,12,8,5,3,2,2
247,1507,NNl,1,I,LAT,N?,1,18,180,2,2,2,1,1,1,1,1,1
248,1508,Nng,1,n,GRA,N,1,17,1715,1,1,1,1,1,1,1,1,1
249,1509,Nng,1,n,GRA,N,1,18,1810,1,1,1,1,1,1,1,1,1
250,1510,Nng,1,n,GRA,N,1,17,1715,1,1,1,1,1,1,1,1,1
251,1513,Nng,1,n,GRA,N,1,18,180,1,1,1,1,1,1,1,1,1
252,1514,NngNng,2,n,GRA,N,1,17,1715,37,28,15,4,3,1,1,1,1
253,1517,IigXxg,2,i,GRA,NUM?,1,18,1817,22,16,8,3,3,1,1,1,1
254,1518,Iig,1,i,GRA,I,extra moe0ia,extra moe0ia0,extra moe0ia00,8,7,4,1,1,1,1,1,1
255,1533,Nng,1,n,GRA,N,1,17,1715,1,1,1,1,1,1,1,1,1
256,1534,Nng,1,n,GRA,N,1,17,1715,1,1,1,1,1,1,1,1,1
257,1537,Nng,1,n,GRA,N,1,18,1813,1,1,1,1,1,1,1,1,1
258,1538,IigIigPpg,3,i,GRA,I,1,17,1715,72,56,31,10,7,5,3,2,2
259,1540,NngPpg,2,n,GRA,N,1,111,1112,38,29,15,4,3,1,1,1,1
260,1541,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
261,1542,NngPpgXxg,3,n,GRA,N,1,18,180,87,69,38,13,8,5,3,2,2
262,1543,NngPpgXxg,3,n,GRA,N,1,18,180,87,69,38,13,8,5,3,2,2
263,1544,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
264,1545,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
265,1546,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
266,1547,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
267,1548,NngPpg,2,n,GRA,N,1,18,180,38,29,15,4,3,1,1,1,1
268,1549,IigNng,2,n,GRA,N,1,18,180,36,27,14,4,3,1,1,1,1
269,1550,NngPpgXxg,3,n,GRA,N,1,18,180,87,69,38,13,8,5,3,2,2
270,1551,IigNng,2,n,GRA,N,1,18,180,36,27,14,4,3,1,1,1,1
271,1552,IigIigNng,3,n,GRA,N,1,18,1815,89,70,39,14,8,5,3,2,2
272,1553,Nng,1,n,GRA,N,1,18,180,1,1,1,1,1,1,1,1,1
273,1554,Nng,1,n,GRA,N,2,24,247,1,1,1,1,1,1,1,1,1
274,1569,Nng,1,n,GRA,N,1,110,1101,1,1,1,1,1,1,1,1,1
275,1572,SSSIigXxg,3,S,\N,S,1,18,180,70,55,31,10,7,5,3,2,2
276,1574,NngNng,2,n,GRA,N,1,17,171,37,28,15,4,3,1,1,1,1
277,1587,NngNng,2,n,GRA,N,1,19,1912,37,28,15,4,3,1,1,1,1
278,1588,NngNng,2,n,GRA,N,1,19,1912,37,28,15,4,3,1,1,1,1
279,1589,NngXxg,2,i,GRA,N?,2,24,247,39,30,15,4,3,1,1,1,1
280,1590,Nng,1,n,GRA,N,1,19,1912,1,1,1,1,1,1,1,1,1
281,1597,NNlNNlIig,3,N,LAT,N,1,19,1912,85,67,37,12,8,5,3,2,2
282,1598,NngXxg,2,i,GRA,NUM?,2,21,219,39,30,15,4,3,1,1,1,1
283,1603,Iig,1,i,GRA,I,1,19,1912,8,7,4,1,1,1,1,1,1
284,1604,IigNng,2,n,GRA,N,1,19,1912,36,27,14,4,3,1,1,1,1
285,1605,XXlIigIig,3,X,LAT,NUM,1,19,1912,68,53,31,10,7,5,3,2,2
286,1607,NngNngXxg,3,i,GRA,N?,1,19,1912,92,73,40,14,8,5,3,2,2
287,1608,NngXxg,2,i,GRA,N?,1,19,199,39,30,15,4,3,1,1,1,1
288,1610,Nng,1,i,GRA,N?,2,24,242,1,1,1,1,1,1,1,1,1
289,1617,XxgXxg,2,i,GRA,NUM?,2,26,266,26,19,9,3,3,1,1,1,1
290,1618,XxgXxg,2,i,GRA,NUM?,2,21,2111,26,19,9,3,3,1,1,1,1
291,1619,XxgXxg,2,i,GRA,NUM?,2,21,219,26,19,9,3,3,1,1,1,1
292,1620,XxgXxg,2,i,GRA,NUM?,2,211,2112,26,19,9,3,3,1,1,1,1
293,1621,XxgXxg,2,i,GRA,NUM?,2,26,264,26,19,9,3,3,1,1,1,1
294,1623,XxgXxg,2,i,GRA,NUM?,1,19,199,26,19,9,3,3,1,1,1,1
295,1624,XxgXxg,2,i,GRA,NUM?,2,21,2111,26,19,9,3,3,1,1,1,1
296,1629,Nng,1,n,GRA,N,2,211,2112,1,1,1,1,1,1,1,1,1
297,1630,NngNng,2,n,GRA,N,1,19,1912,37,28,15,4,3,1,1,1,1
298,1631,NngNng,2,n,GRA,N,1,19,1912,37,28,15,4,3,1,1,1,1
299,1632,Nng,1,n,GRA,N,1,19,1912,1,1,1,1,1,1,1,1,1
