,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
0,60,NNlNNl,2,N,LAT,N,0,00,000,19,14,7,2,2,1,1,1,1
1,91,IIlNNl,2,N,LAT,N,0,00,000,18,13,6,2,2,1,1,1,1
2,105,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
3,111,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
4,122,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
5,131,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
6,135,IIl,1,I,LAT,I,0,00,000,3,3,3,1,1,1,1,1,1
7,141,IIlNNl,2,I,LAT,I,0,00,000,18,13,6,2,2,1,1,1,1
8,171,...IIl,2,I,LAT,I,0,00,000,12,10,5,2,2,1,1,1,1
9,211,CCl,1,C,LAT,C,0,00,000,7,6,3,1,1,1,1,1,1
10,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000,103,84,49,21,13,10,7,5,5
11,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000,50,38,21,6,5,3,2,2,2
12,270,NNlPPlXXlXXl,4,N,LAT,N,0,00,000,57,44,25,7,5,3,2,2,2
13,283,PPl,1,I,LAT,P?,0,00,000,6,6,3,1,1,1,1,1,1
14,293,NNlPPl,2,P,LAT,P,0,00,000,20,15,7,2,2,1,1,1,1
15,296,NNlPPl,2,P,LAT,P,8,80,8015,20,15,7,2,2,1,1,1,1
16,360,PPl,1,I,LAT,P?,0,00,000,6,6,3,1,1,1,1,1,1
17,431,IIl,1,I,LAT,I,6,614,61439,3,3,3,1,1,1,1,1,1
18,432,IIl,1,I,LAT,I,8,80,8015,3,3,3,1,1,1,1,1,1
19,433,IIlNNlNNl,3,N,LAT,N,8,80,8015,65,50,29,9,6,4,3,2,2
20,441,IIlNNl,2,N,LAT,N,7,77,775,18,13,6,2,2,1,1,1,1
21,467,IIlNNlXXl,3,I,LAT,I,6,615,6151,66,51,29,9,6,4,3,2,2
22,476,IIlIIlNNl,3,N,LAT,N,6,615,61522,64,49,29,9,6,4,3,2,2
23,478,NNlNNl,2,I,LAT,N?,6,613,61316,19,14,7,2,2,1,1,1,1
24,497,NNl,1,N,LAT,N,9,98,985,2,2,2,1,1,1,1,1,1
25,498,NNlXXl,2,I,LAT,NUM?,0,00,000,21,15,7,2,2,1,1,1,1
26,499,NNl,1,N,LAT,N,9,98,986,2,2,2,1,1,1,1,1,1
27,505,NNl,1,N,LAT,N,6,613,61313,2,2,2,1,1,1,1,1,1
28,515,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
29,516,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
30,517,NNl,1,N,LAT,N,8,82,820,2,2,2,1,1,1,1,1,1
31,518,NNl,1,N,LAT,N,8,80,8016,2,2,2,1,1,1,1,1,1
32,519,NNl,1,N,LAT,N,9,96,968,2,2,2,1,1,1,1,1,1
33,524,NNlNNl,2,N,LAT,N,0,00,000,19,14,7,2,2,1,1,1,1
34,530,NNl,1,N,LAT,N,0,00,000,2,2,2,1,1,1,1,1,1
35,541,NNl,1,N,LAT,N,6,613,61319,2,2,2,1,1,1,1,1,1
36,557,NNlNNl,2,N,LAT,N,0,00,000,19,14,7,2,2,1,1,1,1
37,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000,101,82,47,19,11,8,5,4,4
38,601,NNlNngXxgXxg,4,n,GRA,N,0,00,000,44,35,18,5,4,2,2,2,2
39,603,NNlXXl,2,I,LAT,NUM?,9,98,980,21,15,7,2,2,1,1,1,1
40,605,NNlIig,2,N,LAT,N,0,00,000,34,25,13,4,3,1,1,1,1
41,623,NNlNng,2,n,GRA,N,6,65,657,35,26,13,4,3,1,1,1,1
42,636,NNl,1,I,LAT,N?,0,00,000,2,2,2,1,1,1,1,1,1
43,639,NNl,1,I,LAT,N?,0,00,000,2,2,2,1,1,1,1,1,1
44,643,NNlNNlXXlIig,4,I,LAT,N?,0,00,000,55,42,23,7,5,3,2,2,2
45,649,NNl,1,N,LAT,N,9,95,959,2,2,2,1,1,1,1,1,1
46,650,NNl,1,N,LAT,N,9,95,959,2,2,2,1,1,1,1,1,1
47,658,XXl,1,I,LAT,NUM?,9,98,986,4,4,3,1,1,1,1,1,1
48,662,NNlXXlXXlXxg,4,X,LAT,NUM,5,52,520,53,40,23,7,5,3,2,2,2
49,663,NNl,1,N,LAT,N,9,98,986,2,2,2,1,1,1,1,1,1
50,664,XXlXxg,2,X,LAT,NUM,0,00,000,25,18,9,3,3,1,1,1,1
51,665,XXlXxg,2,X,LAT,NUM,6,613,61316,25,18,9,3,3,1,1,1,1
52,666,XXlXxg,2,X,LAT,NUM,8,80,8024,25,18,9,3,3,1,1,1,1
