INV,60,91,105,111,122,131,135,141,171,211,225,256,270,283,293,296,360,431,432,433,441,467,476,478,497,498,499,505,515,516,517,518,519,524,530,541,557,596,601,603,605,623,636,639,643,649,650,658,662,663,664,665,666,669,673,674,675,676,683,692,696,697,700,707,720,721,726,728,732,734,744,752,753,768,769,770,771,772,779,780,783,787,797,811,812,826,838,842,869,893,902,913,956,957,963,970,971,972,973,974,975,976,977,978,979,980,981,982,995,1002,1004,1005,1030,1032,1033,1047,1057,1058,1059,1060,1062,1063,1064,1080,1086,1089,1090,1091,1092,1093,1096,1097,1098,1099,1100,1101,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1121,1125,1127,1128,1129,1130,1131,1132,1133,1151,1156,1163,1165,1169,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1190,1191,1195,1196,1210,1211,1213,1223,1226,1227,1228,1229,1230,1240,1241,1245,1246,1247,1259,1262,1263,1273,1280,1283,1284,1285,1294,1297,1300,1301,1304,1305,1306,1307,1308,1309,1310,1311,1312,1315,1316,1317,1319,1330,1332,1333,1334,1335,1352,1353,1373,1411,1412,1417,1421,1426,1427,1428,1436,1446,1447,1448,1449,1453,1460,1461,1481,1495,1496,1500,1502,1503,1504,1505,1506,1507,1508,1509,1510,1513,1514,1517,1518,1533,1534,1537,1538,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1569,1572,1574,1587,1588,1589,1590,1597,1598,1603,1604,1605,1607,1608,1610,1617,1618,1619,1620,1621,1623,1624,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1643,1644,1645,1646,1649,1651,1652,1653,1654,1655,1657,1658,1659,1660,1661,1662,1663,1664,1665,1667,1668,1669,1670,1671,1674,1675,1676,1678,1679,1680,1683,1684,1685,1686,1687,1688,1710,1712,1721,1722,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1764,1775,1789,1791,1795,1796,1803,1819,1826,1832,1839,1841,1843,1860,1879,1881,1888,1889,1918,1922,1937,1939,1940,1945,1952,1954,1955,1960,1962,1967,1968,1987,1991,1992,1993,1997,2000,2001,2002,2003,2006,2013,2014,2016,2017,2021,2023,2024,2037,2070,2071,2074,2076,2082,2084,2085,2091,2101,2114,2125,2145,2146,2147,2161,2163,2164,2165,2171,2177,2195,2200,2210,2218,2225,2229,2230,2248,2250,2260,2289,2292,2298,2299,2300,2301,2305,2312,2319,2327,2330,2331,2333,2334,2335,2342,2352,2357,2364,2375,2432,2433,2460,2474,2478,2503,2534,2544,2548,2549,2550,2553,2554,2555,2562,2572,2574,2675,2683,2684,2685,2712,2758,2767,2799,2808,2813,2857,2858,2859,2860,2861,2863,2864,2867,2868,2869,2870,2873,2888,2889,2890,2893,2898,2899,2900,2901,2902,2905,2906,2909,2910,2911,2931
60,0,0,3,3,3,3,3,0,5,5,21,6,6,3,2,4,3,3,3,3,0,3,3,2,3,0,3,3,3,3,3,3,3,2,3,3,2,19,9,2,5,4,3,3,8,3,3,3,8,3,5,5,5,3,3,3,3,5,3,0,3,5,2,3,0,3,2,3,2,5,0,7,3,2,2,2,2,2,3,3,3,3,2,5,3,2,5,2,3,3,0,3,5,5,5,5,4,5,5,5,5,4,6,6,6,6,6,6,5,7,6,5,10,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,6,4,4,5,5,5,5,4,6,4,6,6,12,6,5,5,5,5,6,11,17,6,6,7,6,6,9,6,8,6,7,10,6,9,9,5,6,11,5,5,5,5,5,5,5,7,5,5,5,9,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,6,6,5,4,5,8,5,5,3,3,9,9,5,3,8,6,6,7,5,12,0,8,5,4,5,5,5,5,5,5,5,5,5,5,3,6,6,6,6,3,5,5,5,5,5,5,5,5,5,5,7,6,6,7,7,6,6,6,6,6,4,7,4,6,5,5,5,8,5,4,4,5,5,3,4,5,4,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,5,5,5,5,5,5,6,8,5,14,6,4,5,5,5,6,6,6,9,5,5,6,6,7,8,5,5,8,7,5,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,7,4,6,4,5,4,4,2,0,0,0,0,3,3,0,3,5,5,2,6,2,0,3,0,0,0,3,3,3,8,6,3,7,3,4,3,10,3,3,2,6,3,0,3,3,2,3,3,3,3,3,2,3,3,2,2,5,3,0,3,2,3,3,3,5,5,4,3,5,3,3,5,4,5,3,8,3,4,6,3,0,3,0,3,0,3,3,3,2,3,3,3,3,2,5,3,5,3,5,2,0,2,3,3,7,3,5,7,2,2,3,3,0,6,6,5,5,4,4,5,6,4,5,6,3,5,5,5,2,0,5,5,4,7,10,5,5,5,3,5,3,5,5,5,5,4,7,5,5,5,3,5,6
91,0,0,3,3,3,3,3,0,5,5,21,6,6,3,2,4,3,3,3,3,0,3,3,2,3,0,3,3,3,3,3,3,3,2,3,3,2,19,9,2,5,4,3,3,8,3,3,3,8,3,5,5,5,3,3,3,3,5,3,0,3,5,2,3,0,3,2,3,2,5,0,7,3,2,2,2,2,2,3,3,3,3,2,5,3,2,5,2,3,3,0,3,5,5,5,5,4,5,5,5,5,4,6,6,6,6,6,6,5,7,6,5,10,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,6,4,4,5,5,5,5,4,6,4,6,6,12,6,5,5,5,5,6,11,17,6,6,7,6,6,9,6,8,6,7,10,6,9,9,5,6,11,5,5,5,5,5,5,5,7,5,5,5,9,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,6,6,5,4,5,8,5,5,3,3,9,9,5,3,8,6,6,7,5,12,0,8,5,4,5,5,5,5,5,5,5,5,5,5,3,6,6,6,6,3,5,5,5,5,5,5,5,5,5,5,7,6,6,7,7,6,6,6,6,6,4,7,4,6,5,5,5,8,5,4,4,5,5,3,4,5,4,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,5,5,5,5,5,5,6,8,5,14,6,4,5,5,5,6,6,6,9,5,5,6,6,7,8,5,5,8,7,5,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,7,4,6,4,5,4,4,2,0,0,0,0,3,3,0,3,5,5,2,6,2,0,3,0,0,0,3,3,3,8,6,3,7,3,4,3,10,3,3,2,6,3,0,3,3,2,3,3,3,3,3,2,3,3,2,2,5,3,0,3,2,3,3,3,5,5,4,3,5,3,3,5,4,5,3,8,3,4,6,3,0,3,0,3,0,3,3,3,2,3,3,3,3,2,5,3,5,3,5,2,0,2,3,3,7,3,5,7,2,2,3,3,0,6,6,5,5,4,4,5,6,4,5,6,3,5,5,5,2,0,5,5,4,7,10,5,5,5,3,5,3,5,5,5,5,4,7,5,5,5,3,5,6
105,3,3,0,0,0,0,2,3,5,2,24,9,9,2,5,3,2,2,2,6,3,6,6,5,0,3,0,0,0,0,0,0,0,3,0,0,3,18,9,5,3,3,2,2,11,0,0,2,11,0,5,5,5,2,2,2,2,8,0,3,2,8,5,2,3,2,3,2,5,5,3,6,6,5,5,5,5,5,0,0,2,0,5,8,2,5,8,5,2,2,3,2,2,3,2,2,5,3,2,2,2,5,5,8,8,8,8,8,6,8,3,6,12,5,5,5,2,2,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,5,8,5,5,2,2,2,2,5,8,5,8,8,14,8,6,8,6,6,5,13,18,5,5,8,5,5,8,5,7,5,8,11,6,8,8,6,5,10,2,3,3,3,3,3,6,9,6,6,6,11,5,5,5,4,6,6,6,3,6,2,5,5,8,8,8,8,6,8,8,6,5,3,11,3,6,0,6,9,9,3,2,9,3,3,6,6,15,3,11,6,5,2,2,2,3,3,3,3,6,6,6,0,8,8,8,8,2,2,2,2,2,4,6,3,2,2,2,9,5,5,8,8,5,5,5,5,5,5,8,5,8,2,2,2,9,4,5,5,6,2,6,5,3,5,8,9,6,3,6,6,6,6,6,6,6,2,4,4,2,2,2,2,2,2,2,5,0,0,3,3,3,2,3,6,6,6,2,8,11,8,16,5,5,2,3,3,8,8,8,11,2,4,7,7,9,8,3,6,10,9,6,6,6,5,0,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,6,5,8,5,6,5,5,5,3,3,3,3,6,6,3,2,5,8,5,9,5,3,6,3,3,3,6,0,0,6,3,0,6,0,3,0,9,0,0,5,9,0,3,0,6,3,0,0,6,0,2,5,2,5,5,5,5,2,3,0,3,0,0,5,6,6,3,0,6,2,2,2,5,2,0,9,6,5,6,0,3,0,3,0,3,2,6,2,5,0,0,0,2,5,3,0,3,2,2,3,3,5,6,0,8,2,5,6,3,3,0,0,3,9,5,6,3,5,5,6,3,3,2,8,6,6,2,3,5,3,6,6,3,8,13,3,5,6,5,4,0,2,3,2,2,5,9,5,6,3,0,2,3
111,3,3,0,0,0,0,2,3,5,2,24,9,9,2,5,3,2,2,2,6,3,6,6,5,0,3,0,0,0,0,0,0,0,3,0,0,3,18,9,5,3,3,2,2,11,0,0,2,11,0,5,5,5,2,2,2,2,8,0,3,2,8,5,2,3,2,3,2,5,5,3,6,6,5,5,5,5,5,0,0,2,0,5,8,2,5,8,5,2,2,3,2,2,3,2,2,5,3,2,2,2,5,5,8,8,8,8,8,6,8,3,6,12,5,5,5,2,2,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,5,8,5,5,2,2,2,2,5,8,5,8,8,14,8,6,8,6,6,5,13,18,5,5,8,5,5,8,5,7,5,8,11,6,8,8,6,5,10,2,3,3,3,3,3,6,9,6,6,6,11,5,5,5,4,6,6,6,3,6,2,5,5,8,8,8,8,6,8,8,6,5,3,11,3,6,0,6,9,9,3,2,9,3,3,6,6,15,3,11,6,5,2,2,2,3,3,3,3,6,6,6,0,8,8,8,8,2,2,2,2,2,4,6,3,2,2,2,9,5,5,8,8,5,5,5,5,5,5,8,5,8,2,2,2,9,4,5,5,6,2,6,5,3,5,8,9,6,3,6,6,6,6,6,6,6,2,4,4,2,2,2,2,2,2,2,5,0,0,3,3,3,2,3,6,6,6,2,8,11,8,16,5,5,2,3,3,8,8,8,11,2,4,7,7,9,8,3,6,10,9,6,6,6,5,0,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,6,5,8,5,6,5,5,5,3,3,3,3,6,6,3,2,5,8,5,9,5,3,6,3,3,3,6,0,0,6,3,0,6,0,3,0,9,0,0,5,9,0,3,0,6,3,0,0,6,0,2,5,2,5,5,5,5,2,3,0,3,0,0,5,6,6,3,0,6,2,2,2,5,2,0,9,6,5,6,0,3,0,3,0,3,2,6,2,5,0,0,0,2,5,3,0,3,2,2,3,3,5,6,0,8,2,5,6,3,3,0,0,3,9,5,6,3,5,5,6,3,3,2,8,6,6,2,3,5,3,6,6,3,8,13,3,5,6,5,4,0,2,3,2,2,5,9,5,6,3,0,2,3
122,3,3,0,0,0,0,2,3,5,2,24,9,9,2,5,3,2,2,2,6,3,6,6,5,0,3,0,0,0,0,0,0,0,3,0,0,3,18,9,5,3,3,2,2,11,0,0,2,11,0,5,5,5,2,2,2,2,8,0,3,2,8,5,2,3,2,3,2,5,5,3,6,6,5,5,5,5,5,0,0,2,0,5,8,2,5,8,5,2,2,3,2,2,3,2,2,5,3,2,2,2,5,5,8,8,8,8,8,6,8,3,6,12,5,5,5,2,2,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,5,8,5,5,2,2,2,2,5,8,5,8,8,14,8,6,8,6,6,5,13,18,5,5,8,5,5,8,5,7,5,8,11,6,8,8,6,5,10,2,3,3,3,3,3,6,9,6,6,6,11,5,5,5,4,6,6,6,3,6,2,5,5,8,8,8,8,6,8,8,6,5,3,11,3,6,0,6,9,9,3,2,9,3,3,6,6,15,3,11,6,5,2,2,2,3,3,3,3,6,6,6,0,8,8,8,8,2,2,2,2,2,4,6,3,2,2,2,9,5,5,8,8,5,5,5,5,5,5,8,5,8,2,2,2,9,4,5,5,6,2,6,5,3,5,8,9,6,3,6,6,6,6,6,6,6,2,4,4,2,2,2,2,2,2,2,5,0,0,3,3,3,2,3,6,6,6,2,8,11,8,16,5,5,2,3,3,8,8,8,11,2,4,7,7,9,8,3,6,10,9,6,6,6,5,0,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,6,5,8,5,6,5,5,5,3,3,3,3,6,6,3,2,5,8,5,9,5,3,6,3,3,3,6,0,0,6,3,0,6,0,3,0,9,0,0,5,9,0,3,0,6,3,0,0,6,0,2,5,2,5,5,5,5,2,3,0,3,0,0,5,6,6,3,0,6,2,2,2,5,2,0,9,6,5,6,0,3,0,3,0,3,2,6,2,5,0,0,0,2,5,3,0,3,2,2,3,3,5,6,0,8,2,5,6,3,3,0,0,3,9,5,6,3,5,5,6,3,3,2,8,6,6,2,3,5,3,6,6,3,8,13,3,5,6,5,4,0,2,3,2,2,5,9,5,6,3,0,2,3
131,3,3,0,0,0,0,2,3,5,2,24,9,9,2,5,3,2,2,2,6,3,6,6,5,0,3,0,0,0,0,0,0,0,3,0,0,3,18,9,5,3,3,2,2,11,0,0,2,11,0,5,5,5,2,2,2,2,8,0,3,2,8,5,2,3,2,3,2,5,5,3,6,6,5,5,5,5,5,0,0,2,0,5,8,2,5,8,5,2,2,3,2,2,3,2,2,5,3,2,2,2,5,5,8,8,8,8,8,6,8,3,6,12,5,5,5,2,2,2,2,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,5,8,5,5,2,2,2,2,5,8,5,8,8,14,8,6,8,6,6,5,13,18,5,5,8,5,5,8,5,7,5,8,11,6,8,8,6,5,10,2,3,3,3,3,3,6,9,6,6,6,11,5,5,5,4,6,6,6,3,6,2,5,5,8,8,8,8,6,8,8,6,5,3,11,3,6,0,6,9,9,3,2,9,3,3,6,6,15,3,11,6,5,2,2,2,3,3,3,3,6,6,6,0,8,8,8,8,2,2,2,2,2,4,6,3,2,2,2,9,5,5,8,8,5,5,5,5,5,5,8,5,8,2,2,2,9,4,5,5,6,2,6,5,3,5,8,9,6,3,6,6,6,6,6,6,6,2,4,4,2,2,2,2,2,2,2,5,0,0,3,3,3,2,3,6,6,6,2,8,11,8,16,5,5,2,3,3,8,8,8,11,2,4,7,7,9,8,3,6,10,9,6,6,6,5,0,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,6,5,8,5,6,5,5,5,3,3,3,3,6,6,3,2,5,8,5,9,5,3,6,3,3,3,6,0,0,6,3,0,6,0,3,0,9,0,0,5,9,0,3,0,6,3,0,0,6,0,2,5,2,5,5,5,5,2,3,0,3,0,0,5,6,6,3,0,6,2,2,2,5,2,0,9,6,5,6,0,3,0,3,0,3,2,6,2,5,0,0,0,2,5,3,0,3,2,2,3,3,5,6,0,8,2,5,6,3,3,0,0,3,9,5,6,3,5,5,6,3,3,2,8,6,6,2,3,5,3,6,6,3,8,13,3,5,6,5,4,0,2,3,2,2,5,9,5,6,3,0,2,3
135,3,3,2,2,2,2,0,3,3,2,24,9,9,0,3,5,0,0,0,6,3,6,6,3,2,3,2,2,2,2,2,2,2,5,2,2,5,19,10,3,5,5,0,0,9,2,2,0,9,2,5,5,5,0,0,0,0,6,2,3,0,6,3,0,3,0,5,0,3,5,3,8,6,3,3,3,3,3,2,2,0,2,3,6,0,3,6,3,0,0,3,0,3,2,3,3,5,2,3,3,3,5,6,7,7,7,7,7,4,8,3,5,10,5,5,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,7,5,5,3,3,3,3,5,7,5,7,7,13,7,4,6,4,4,6,13,19,6,6,8,6,6,9,6,9,6,8,11,5,9,9,4,6,12,3,2,2,2,2,2,4,7,4,4,4,10,5,5,5,6,4,4,4,2,5,3,5,5,6,6,6,6,4,6,6,4,5,2,9,2,4,2,6,10,10,2,0,7,3,3,8,8,15,3,9,4,5,3,3,3,2,2,2,2,4,4,4,2,6,6,6,6,0,3,3,3,3,6,4,2,3,3,3,7,6,6,8,8,6,6,6,6,6,5,8,5,7,3,3,3,7,6,5,5,4,3,6,5,2,5,7,7,4,2,4,4,4,4,4,4,4,3,6,6,3,3,3,3,3,3,3,5,2,2,5,5,5,3,2,4,4,4,3,7,9,6,16,6,5,3,2,2,7,7,7,10,3,6,8,8,7,7,2,4,10,7,4,4,4,5,2,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,8,5,6,5,4,5,5,3,3,3,3,3,6,6,3,0,5,6,3,9,3,3,6,3,3,3,6,2,2,7,3,2,8,2,5,2,11,2,2,3,9,2,3,2,6,5,2,2,6,2,0,3,0,3,3,3,3,0,3,2,5,2,2,3,4,4,5,2,4,0,0,2,3,2,2,11,6,5,8,2,3,2,3,2,3,0,6,0,3,2,2,2,0,3,5,2,2,0,2,5,3,3,6,2,8,0,5,8,5,5,2,2,3,9,6,4,2,5,5,4,3,5,3,7,6,4,2,2,3,3,5,8,5,8,12,2,5,5,3,6,2,3,2,3,3,5,7,6,4,5,2,3,3
141,0,0,3,3,3,3,3,0,5,5,21,6,6,3,2,4,3,3,3,3,0,3,3,2,3,0,3,3,3,3,3,3,3,2,3,3,2,19,9,2,5,4,3,3,8,3,3,3,8,3,5,5,5,3,3,3,3,5,3,0,3,5,2,3,0,3,2,3,2,5,0,7,3,2,2,2,2,2,3,3,3,3,2,5,3,2,5,2,3,3,0,3,5,5,5,5,4,5,5,5,5,4,6,6,6,6,6,6,5,7,6,5,10,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,6,4,4,5,5,5,5,4,6,4,6,6,12,6,5,5,5,5,6,11,17,6,6,7,6,6,9,6,8,6,7,10,6,9,9,5,6,11,5,5,5,5,5,5,5,7,5,5,5,9,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,6,6,5,4,5,8,5,5,3,3,9,9,5,3,8,6,6,7,5,12,0,8,5,4,5,5,5,5,5,5,5,5,5,5,3,6,6,6,6,3,5,5,5,5,5,5,5,5,5,5,7,6,6,7,7,6,6,6,6,6,4,7,4,6,5,5,5,8,5,4,4,5,5,3,4,5,4,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,5,5,5,5,5,5,6,8,5,14,6,4,5,5,5,6,6,6,9,5,5,6,6,7,8,5,5,8,7,5,5,5,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,7,4,6,4,5,4,4,2,0,0,0,0,3,3,0,3,5,5,2,6,2,0,3,0,0,0,3,3,3,8,6,3,7,3,4,3,10,3,3,2,6,3,0,3,3,2,3,3,3,3,3,2,3,3,2,2,5,3,0,3,2,3,3,3,5,5,4,3,5,3,3,5,4,5,3,8,3,4,6,3,0,3,0,3,0,3,3,3,2,3,3,3,3,2,5,3,5,3,5,2,0,2,3,3,7,3,5,7,2,2,3,3,0,6,6,5,5,4,4,5,6,4,5,6,3,5,5,5,2,0,5,5,4,7,10,5,5,5,3,5,3,5,5,5,5,4,7,5,5,5,3,5,6
171,5,5,5,5,5,5,3,5,0,5,24,11,11,3,5,5,3,3,3,6,5,8,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,19,10,3,5,6,3,3,9,5,5,3,9,5,5,5,5,3,3,3,3,6,5,5,3,6,5,3,5,3,5,3,5,5,5,8,6,3,3,3,3,3,5,5,3,5,3,6,3,3,6,3,3,3,5,3,6,5,6,6,6,5,6,6,6,6,6,8,8,8,8,8,5,9,6,6,10,5,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,8,6,8,8,13,8,5,8,5,5,6,14,19,6,6,9,6,6,9,6,9,6,9,12,2,9,9,5,6,12,6,5,5,5,5,5,5,7,5,5,5,10,6,6,6,6,5,5,5,5,6,6,6,6,8,8,8,8,5,7,7,5,6,5,10,5,5,5,8,10,10,5,3,4,6,6,8,8,15,5,9,5,6,6,6,6,5,5,5,5,5,5,5,5,7,7,7,7,3,6,6,6,6,6,5,5,6,6,6,8,6,6,9,9,6,6,6,6,6,6,9,6,8,6,6,6,7,6,6,6,5,6,8,6,5,6,7,7,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,5,5,5,6,8,10,8,16,6,6,6,5,5,8,8,8,10,6,6,9,9,8,7,5,5,11,7,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,7,6,5,6,6,3,5,5,5,5,8,8,5,3,5,6,3,9,3,5,8,5,5,5,6,5,5,7,6,5,8,5,5,5,11,5,5,3,9,5,5,5,6,5,5,5,6,5,3,5,3,5,3,3,0,3,5,5,5,5,5,5,5,5,5,5,5,3,3,5,3,5,5,8,8,6,9,5,5,5,5,5,5,3,6,3,3,5,5,5,3,3,5,5,5,3,5,5,5,3,8,5,8,3,5,8,5,5,5,5,5,9,6,5,5,6,5,5,6,6,6,8,8,5,5,5,6,5,6,8,5,8,9,5,6,6,5,6,5,6,5,6,6,6,7,3,5,5,5,6,6
