,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
0,60,IIlNNl,2,N,LAT,N,0,00,000,24,18,14,7,5,5,3,2,2
1,91,IIlNNl,2,N,LAT,N,0,00,000,24,18,14,7,5,5,3,2,2
2,105,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
3,111,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
4,122,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
5,131,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
6,135,IIl,1,I,LAT,I,0,00,000,14,11,9,6,4,4,3,2,2
7,141,IIlNNl,2,I,LAT,I,0,00,000,24,18,14,7,5,5,3,2,2
8,171,...IIl,2,I,LAT,I,0,00,000,31,21,16,7,5,5,3,2,2
9,211,CCl,1,C,LAT,C,0,00,000,23,17,13,6,4,4,3,2,2
10,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000,91,70,43,22,14,11,7,5,4
11,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000,11,9,7,5,3,3,2,1,1
12,270,IIlNNlPPlXXl,4,N,LAT,N,0,00,000,12,9,7,5,3,3,2,1,1
13,283,IIl,1,I,LAT,P?,0,00,000,14,11,9,6,4,4,3,2,2
14,293,IIlPPl,2,P,LAT,P,0,00,000,27,19,14,7,5,5,3,2,2
15,296,NNlPPl,2,P,LAT,P,8,80,8015,30,20,15,7,5,5,3,2,2
16,360,IIl,1,I,LAT,P?,0,00,000,14,11,9,6,4,4,3,2,2
17,431,IIl,1,I,LAT,I,6,614,61439,14,11,9,6,4,4,3,2,2
18,432,IIl,1,I,LAT,I,8,80,8015,14,11,9,6,4,4,3,2,2
19,433,IIlIIlNNl,3,N,LAT,N,8,80,8015,61,45,29,13,8,7,4,3,2
20,441,IIlNNl,2,N,LAT,N,7,77,775,24,18,14,7,5,5,3,2,2
21,467,IIlNNlXXl,3,I,LAT,I,6,615,6151,62,46,29,13,8,7,4,3,2
22,476,IIlIIlNNl,3,N,LAT,N,6,615,61522,61,45,29,13,8,7,4,3,2
23,478,IIlIIl,2,I,LAT,N?,6,613,61316,25,19,14,7,5,5,3,2,2
24,497,NNl,1,N,LAT,N,9,98,985,17,14,12,6,4,4,3,2,2
25,498,IIlNNl,2,I,LAT,NUM?,0,00,000,24,18,14,7,5,5,3,2,2
26,499,NNl,1,N,LAT,N,9,98,986,17,14,12,6,4,4,3,2,2
27,505,NNl,1,N,LAT,N,6,613,61313,17,14,12,6,4,4,3,2,2
28,515,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
29,516,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
30,517,NNl,1,N,LAT,N,8,82,820,17,14,12,6,4,4,3,2,2
31,518,NNl,1,N,LAT,N,8,80,8016,17,14,12,6,4,4,3,2,2
32,519,NNl,1,N,LAT,N,9,96,968,17,14,12,6,4,4,3,2,2
