,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA,threshold10,threshold20,threshold30,threshold40,threshold50,threshold60,threshold70,threshold80,threshold90
33,524,NNlNNl,2,N,LAT,N,0,00,000,28,20,15,7,5,5,3,2,2
34,530,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
35,541,NNl,1,N,LAT,N,6,613,61319,17,14,12,6,4,4,3,2,2
36,557,NNlNNl,2,N,LAT,N,0,00,000,28,20,15,7,5,5,3,2,2
37,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000,87,66,39,18,11,9,5,4,3
38,601,NNlIigIigNng,4,n,GRA,N,0,00,000,52,37,25,11,7,6,4,3,2
39,603,IIlIIl,2,I,LAT,NUM?,9,98,980,25,19,14,7,5,5,3,2,2
40,605,NNlIig,2,N,LAT,N,0,00,000,44,31,22,9,6,5,3,2,2
41,623,NNlNng,2,n,GRA,N,6,65,657,39,27,20,8,6,5,3,2,2
42,636,IIl,1,I,LAT,N?,0,00,000,14,11,9,6,4,4,3,2,2
43,639,IIl,1,I,LAT,N?,0,00,000,14,11,9,6,4,4,3,2,2
44,643,IIlIIlXXlIig,4,I,LAT,N?,0,00,000,7,7,6,4,3,3,2,1,1
45,649,NNl,1,N,LAT,N,9,95,959,17,14,12,6,4,4,3,2,2
46,650,NNl,1,N,LAT,N,9,95,959,17,14,12,6,4,4,3,2,2
47,658,IIl,1,I,LAT,NUM?,9,98,986,14,11,9,6,4,4,3,2,2
48,662,IIlIIlXXlIig,4,X,LAT,NUM,5,52,520,7,7,6,4,3,3,2,1,1
49,663,NNl,1,N,LAT,N,9,98,986,17,14,12,6,4,4,3,2,2
50,664,XXlIig,2,X,LAT,NUM,0,00,000,45,32,22,9,6,5,3,2,2
51,665,XXlIig,2,X,LAT,NUM,6,613,61316,45,32,22,9,6,5,3,2,2
52,666,XXlIig,2,X,LAT,NUM,8,80,8024,45,32,22,9,6,5,3,2,2
53,669,IIl,1,I,LAT,N?,6,614,61438,14,11,9,6,4,4,3,2,2
54,673,IIl,1,I,LAT,N?,6,614,61438,14,11,9,6,4,4,3,2,2
55,674,IIl,1,I,LAT,N?,6,614,61438,14,11,9,6,4,4,3,2,2
56,675,IIl,1,I,LAT,N?,6,614,61438,14,11,9,6,4,4,3,2,2
57,676,IIlIIlIig,3,I,LAT,N?,0,00,000,79,58,35,16,10,8,4,3,2
58,683,NNl,1,N,LAT,N,5,52,520,17,14,12,6,4,4,3,2,2
59,692,IIlNNl,2,N,LAT,N,5,52,520,24,18,14,7,5,5,3,2,2
60,696,IIl,1,I,LAT,I,8,80,8015,14,11,9,6,4,4,3,2,2
61,697,IIlIIlIIl,3,I,LAT,N?,8,80,8015,59,44,29,13,8,7,4,3,2
62,700,IIlXXl,2,I,LAT,I,8,80,8037,26,19,14,7,5,5,3,2,2
63,707,IIl,1,I,LAT,N?,9,98,986,14,11,9,6,4,4,3,2,2
64,720,IIlNNl,2,N,LAT,N,0,00,000,24,18,14,7,5,5,3,2,2
65,721,IIl,1,I,LAT,N?,6,614,61438,14,11,9,6,4,4,3,2,2
66,726,NNlNNl,2,N,LAT,N,9,99,990,28,20,15,7,5,5,3,2,2
67,728,IIl,1,I,LAT,I,9,97,974,14,11,9,6,4,4,3,2,2
68,732,IIlXXl,2,X,LAT,NUM,9,96,965,26,19,14,7,5,5,3,2,2
69,734,XXlIig,2,X,LAT,NUM,8,80,8015,45,32,22,9,6,5,3,2,2
70,744,IIlNNl,2,I,LAT,NUM?,5,52,520,24,18,14,7,5,5,3,2,2
71,752,NNlPPlNng,3,n,GRA,N,6,613,61316,71,52,33,15,9,8,4,3,2
72,753,IIlIIlNNl,3,N,LAT,N,9,97,9720,61,45,29,13,8,7,4,3,2
73,768,IIlIIl,2,I,LAT,N?,8,80,8015,25,19,14,7,5,5,3,2,2
74,769,IIlIIl,2,I,LAT,N?,8,80,8015,25,19,14,7,5,5,3,2,2
75,770,IIlIIl,2,I,LAT,N?,5,52,520,25,19,14,7,5,5,3,2,2
76,771,IIlIIl,2,I,LAT,N?,5,52,520,25,19,14,7,5,5,3,2,2
77,772,IIlIIl,2,I,LAT,N?,9,92,9218,25,19,14,7,5,5,3,2,2
78,779,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
79,780,NNl,1,N,LAT,N,9,98,984,17,14,12,6,4,4,3,2,2
80,783,IIl,1,I,LAT,N?,0,00,000,14,11,9,6,4,4,3,2,2
81,787,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
82,797,IIlIIl,2,I,LAT,NUM?,0,00,000,25,19,14,7,5,5,3,2,2
83,811,IIlIIlIig,3,I,LAT,NUM?,8,80,8015,79,58,35,16,10,8,4,3,2
84,812,IIl,1,I,LAT,I,6,615,61520,14,11,9,6,4,4,3,2,2
85,826,IIlIIl,2,I,LAT,NUM?,8,82,8221,25,19,14,7,5,5,3,2,2
86,838,IIlIIlIIl,3,I,LAT,I,0,00,000,59,44,29,13,8,7,4,3,2
87,842,IIlIIl,2,I,LAT,I,8,80,8015,25,19,14,7,5,5,3,2,2
88,869,IIl,1,I,LAT,I,6,614,61438,14,11,9,6,4,4,3,2,2
89,893,IIl,1,I,LAT,N?,0,00,000,14,11,9,6,4,4,3,2,2
90,902,IIlNNl,2,I,LAT,I,0,00,000,24,18,14,7,5,5,3,2,2
91,913,IIl,1,I,LAT,NUM?,5,52,520,14,11,9,6,4,4,3,2,2
92,956,Nng,1,n,GRA,N,9,95,950,16,13,11,6,4,4,3,2,2
93,957,Iig,1,i,GRA,I,0,00,000,15,12,10,6,4,4,3,2,2
94,963,Nng,1,n,GRA,N,5,52,520,16,13,11,6,4,4,3,2,2
95,970,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
96,971,IigNng,2,n,GRA,N,5,52,521,48,34,23,10,6,5,3,2,2
97,972,Iig,1,i,GRA,I,8,80,8015,15,12,10,6,4,4,3,2,2
98,973,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
99,974,Nng,1,n,GRA,N,6,613,61316,16,13,11,6,4,4,3,2,2
100,975,Nng,1,n,GRA,N,5,52,520,16,13,11,6,4,4,3,2,2
101,976,IigNng,2,n,GRA,N,5,52,520,48,34,23,10,6,5,3,2,2
102,977,NngPpg,2,n,GRA,N,6,613,61316,37,25,18,8,6,5,3,2,2
103,978,IigIigNng,3,n,GRA,N,6,613,61316,84,63,37,17,10,8,4,3,2
104,979,IigIigNng,3,n,GRA,N,6,613,61316,84,63,37,17,10,8,4,3,2
105,980,IigIigNng,3,n,GRA,N,6,613,61316,84,63,37,17,10,8,4,3,2
106,981,IigIigNng,3,n,GRA,N,6,613,61316,84,63,37,17,10,8,4,3,2
107,982,IigIigNng,3,n,GRA,N,6,613,61316,84,63,37,17,10,8,4,3,2
108,995,IigIig,2,i,GRA,N?,9,95,950,49,35,24,10,6,5,3,2,2
109,1002,IigNngPpg,3,n,GRA,N,0,00,000,82,61,36,17,10,8,4,3,2
110,1004,Ppg,1,p,GRA,P,6,614,61438,20,15,13,6,4,4,3,2,2
111,1005,IigPpg,2,i,GRA,I,8,80,805,51,36,24,10,6,5,3,2,2
112,1030,IigIigIigIig,4,i,GRA,P?,0,00,000,56,41,26,11,7,6,4,3,2
113,1032,XXlIig,2,X,LAT,NUM,8,80,8015,45,32,22,9,6,5,3,2,2
114,1033,XXlIig,2,i,GRA,I,8,82,8239,45,32,22,9,6,5,3,2,2
115,1047,IIlIig,2,I,LAT,NUM?,6,613,61313,43,30,21,9,6,5,3,2,2
116,1057,Nng,1,n,GRA,N,5,51,5118,16,13,11,6,4,4,3,2,2
117,1058,Nng,1,n,GRA,N,5,52,520,16,13,11,6,4,4,3,2,2
118,1059,Nng,1,n,GRA,N,5,52,520,16,13,11,6,4,4,3,2,2
119,1060,Nng,1,n,GRA,N,6,616,61611,16,13,11,6,4,4,3,2,2
120,1062,IigNng,2,n,GRA,N,5,52,520,48,34,23,10,6,5,3,2,2
121,1063,IigNng,2,n,GRA,N,5,52,520,48,34,23,10,6,5,3,2,2
122,1064,IigNng,2,n,GRA,N,6,616,61611,48,34,23,10,6,5,3,2,2
123,1080,XXlIig,2,X,LAT,NUM,6,613,61316,45,32,22,9,6,5,3,2,2
124,1086,Nng,1,n,GRA,N,8,80,8015,16,13,11,6,4,4,3,2,2
125,1089,Nng,1,n,GRA,N,5,52,5218,16,13,11,6,4,4,3,2,2
126,1090,Nng,1,n,GRA,N,5,52,521,16,13,11,6,4,4,3,2,2
127,1091,Nng,1,n,GRA,N,5,52,521,16,13,11,6,4,4,3,2,2
128,1092,Nng,1,n,GRA,N,5,52,521,16,13,11,6,4,4,3,2,2
129,1093,Nng,1,n,GRA,N,5,52,521,16,13,11,6,4,4,3,2,2
130,1096,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
131,1097,Nng,1,n,GRA,N,9,97,974,16,13,11,6,4,4,3,2,2
132,1098,Nng,1,n,GRA,N,6,65,657,16,13,11,6,4,4,3,2,2
133,1099,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
134,1100,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
135,1101,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
136,1103,IigNng,2,n,GRA,N,9,92,9217,48,34,23,10,6,5,3,2,2
137,1104,IIlNng,2,I,LAT,I,9,92,9217,38,26,19,8,6,5,3,2,2
138,1105,Nng,1,n,GRA,N,9,92,9217,16,13,11,6,4,4,3,2,2
139,1106,Nng,1,n,GRA,N,9,92,9217,16,13,11,6,4,4,3,2,2
140,1107,IigNng,2,n,GRA,N,9,92,9217,48,34,23,10,6,5,3,2,2
141,1108,IigIigNng,3,i,GRA,NUM?,9,92,9217,84,63,37,17,10,8,4,3,2
142,1109,IigNng,2,i,GRA,I,9,92,9217,48,34,23,10,6,5,3,2,2
143,1110,IigNng,2,i,GRA,I,9,92,9217,48,34,23,10,6,5,3,2,2
144,1111,Nng,1,n,GRA,N,6,613,61316,16,13,11,6,4,4,3,2,2
145,1112,Nng,1,n,GRA,N,6,613,61316,16,13,11,6,4,4,3,2,2
146,1121,Nng,1,n,GRA,N,8,80,8015,16,13,11,6,4,4,3,2,2
147,1125,Nng,1,n,GRA,N,0,00,000,16,13,11,6,4,4,3,2,2
148,1127,IigNng,2,n,GRA,N,0,00,000,48,34,23,10,6,5,3,2,2
149,1128,IigIigNng,3,n,GRA,N,0,00,000,84,63,37,17,10,8,4,3,2
150,1129,IigNng,2,n,GRA,N,6,615,6156,48,34,23,10,6,5,3,2,2
151,1130,IigIigNng,3,n,GRA,N,0,00,000,84,63,37,17,10,8,4,3,2
152,1131,IigIigNng,3,n,GRA,N,0,00,000,84,63,37,17,10,8,4,3,2
153,1132,SSSIigIigIigNng,5,S,\N,S,6,613,61316,1,1,1,1,1,1,1,1,1
154,1133,IigIigNng,3,i,GRA,NUM?,0,00,000,84,63,37,17,10,8,4,3,2
155,1151,IigIig,2,i,GRA,I,0,00,000,49,35,24,10,6,5,3,2,2
156,1156,IIlIigNng,3,n,GRA,N,0,00,000,83,62,37,17,10,8,4,3,2
157,1163,IigIig,2,i,GRA,I,6,613,61316,49,35,24,10,6,5,3,2,2
158,1165,IigIig,2,i,GRA,NUM?,0,00,000,49,35,24,10,6,5,3,2,2
159,1169,NngXxg,2,x,GRA,NUM,0,00,000,36,25,18,8,6,5,3,2,2
160,1174,IigIigNngNngPpg,5,n,GRA,N,5,52,520,2,2,2,1,1,1,1,1,1
161,1175,NNlIigIigNngNngNngPpg,6,n,GRA,N,0,00,000,88,67,40,19,11,9,5,4,3
162,1176,NngPpg,2,p,GRA,P,5,52,520,37,25,18,8,6,5,3,2,2
163,1177,NngPpg,2,n,GRA,N,0,00,000,37,25,18,8,6,5,3,2,2
164,1178,IigNngPpg,3,n,GRA,N,8,80,8015,82,61,36,17,10,8,4,3,2
165,1179,NngPpg,2,n,GRA,N,5,52,520,37,25,18,8,6,5,3,2,2
166,1180,NngPpg,2,n,GRA,N,6,614,61412,37,25,18,8,6,5,3,2,2
167,1181,NngPpgXxg,3,p,GRA,P,8,80,8015,69,50,32,15,9,8,4,3,2
168,1182,NngPpg,2,p,GRA,P,5,52,520,37,25,18,8,6,5,3,2,2
169,1183,NngNngPpg,3,x,GRA,NUM,6,613,61316,70,51,32,15,9,8,4,3,2
170,1184,NngPpg,2,n,GRA,N,0,00,000,37,25,18,8,6,5,3,2,2
171,1185,IigNngPpg,3,n,GRA,N,5,52,520,82,61,36,17,10,8,4,3,2
172,1190,XXlNngPpgXxg,4,X,LAT,NUM,6,613,61316,4,4,4,2,2,2,2,1,1
173,1191,...Iig,2,...,\N,...,5,52,520,47,33,22,9,6,5,3,2,2
174,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000,68,50,32,15,9,8,4,3,2
175,1196,NngXxgXxg,3,n,GRA,N,8,82,8239,68,50,32,15,9,8,4,3,2
176,1210,IigIig,2,i,GRA,NUM?,6,613,61316,49,35,24,10,6,5,3,2,2
177,1211,NngPpg,2,n,GRA,N,5,52,527,37,25,18,8,6,5,3,2,2
178,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000,5,5,4,2,2,2,2,1,1
179,1223,Nng,1,n,GRA,N,8,80,8015,16,13,11,6,4,4,3,2,2
180,1226,Iig,1,i,GRA,NUM?,5,52,520,15,12,10,6,4,4,3,2,2
181,1227,Iig,1,i,GRA,NUM?,5,52,520,15,12,10,6,4,4,3,2,2
182,1228,Iig,1,i,GRA,NUM?,5,52,520,15,12,10,6,4,4,3,2,2
183,1229,Iig,1,i,GRA,NUM?,5,52,520,15,12,10,6,4,4,3,2,2
184,1230,Iig,1,i,GRA,NUM?,5,52,520,15,12,10,6,4,4,3,2,2
185,1240,IigIig,2,i,GRA,NUM?,0,00,000,49,35,24,10,6,5,3,2,2
186,1241,IigIigIig,3,i,GRA,NUM?,0,00,000,74,55,34,16,10,8,4,3,2
187,1245,IigIig,2,i,GRA,N?,9,96,965,49,35,24,10,6,5,3,2,2
188,1246,IigIig,2,i,GRA,N?,9,98,984,49,35,24,10,6,5,3,2,2
189,1247,IigIig,2,i,GRA,N?,6,616,61612,49,35,24,10,6,5,3,2,2
190,1259,IigIigIigNng,4,n,GRA,N,5,52,520,53,38,25,11,7,6,4,3,2
191,1262,IigNng,2,i,GRA,NUM?,9,96,964,48,34,23,10,6,5,3,2,2
192,1263,IigNng,2,i,GRA,I,5,52,5218,48,34,23,10,6,5,3,2,2
193,1273,IigNng,2,i,GRA,I,5,52,520,48,34,23,10,6,5,3,2,2
194,1280,NngNng,2,n,GRA,N,6,613,61316,35,24,18,8,6,5,3,2,2
195,1283,IigIig,2,i,GRA,I,1,12,1220,49,35,24,10,6,5,3,2,2
196,1284,IigIig,2,i,GRA,I,1,12,1220,49,35,24,10,6,5,3,2,2
197,1285,IigIig,2,i,GRA,I,1,12,1220,49,35,24,10,6,5,3,2,2
198,1294,Iig,1,i,GRA,I,6,615,61522,15,12,10,6,4,4,3,2,2
199,1297,IigXxg,2,x,GRA,NUM,5,52,520,50,36,24,10,6,5,3,2,2
200,1300,Nng,1,n,GRA,N,8,82,8229,16,13,11,6,4,4,3,2,2
201,1301,IigNng,2,n,GRA,N,8,80,8015,48,34,23,10,6,5,3,2,2
202,1304,IigNng,2,n,GRA,n,6,613,61316,48,34,23,10,6,5,3,2,2
203,1305,IIlIigNng,3,n,GRA,N,6,614,61438,83,62,37,17,10,8,4,3,2
204,1306,IIlIigNng,3,n,GRA,N,6,614,61438,83,62,37,17,10,8,4,3,2
205,1307,IIlIigNng,3,n,GRA,N,6,614,61438,83,62,37,17,10,8,4,3,2
206,1308,IIlIigNng,3,n,GRA,N,6,614,61438,83,62,37,17,10,8,4,3,2
207,1309,IigIig,2,i,GRA,NUM?,6,614,61438,49,35,24,10,6,5,3,2,2
208,1310,IIlIigIig,3,I,LAT,N?,6,614,61438,80,59,35,16,10,8,4,3,2
209,1311,IIlIigIig,3,I,LAT,N?,6,614,61438,80,59,35,16,10,8,4,3,2
210,1312,IigIig,2,i,GRA,NUM?,6,614,61438,49,35,24,10,6,5,3,2,2
211,1315,IigNng,2,i,GRA,NUM?,9,98,986,48,34,23,10,6,5,3,2,2
212,1316,Iig,1,i,GRA,N?,0,00,000,15,12,10,6,4,4,3,2,2
213,1317,IIlIigIigNng,4,i,GRA,NUM?,9,99,990,54,39,25,11,7,6,4,3,2
214,1319,Iig,1,i,GRA,I,5,52,520,15,12,10,6,4,4,3,2,2
215,1330,IigIig,2,i,GRA,NUM?,0,00,000,49,35,24,10,6,5,3,2,2
216,1332,NNl,1,N,LAT,N,0,00,000,17,14,12,6,4,4,3,2,2
217,1333,IIlNNlIig,3,N,LAT,N,0,00,000,64,47,30,14,8,7,4,3,2
218,1334,NNlIigIigNng,4,N,LAT,N,0,00,000,52,37,25,11,7,6,4,3,2
219,1335,NNlIigIigNng,4,N,LAT,N,0,00,000,52,37,25,11,7,6,4,3,2
220,1352,Iig,1,i,GRA,NUM?,0,00,000,15,12,10,6,4,4,3,2,2
221,1353,IIl,1,I,LAT,I,0,00,000,14,11,9,6,4,4,3,2,2
222,1373,...IigIig,3,...,\N,...,0,00,000,78,57,34,16,10,8,4,3,2
223,1411,Ccg,1,c,GRA,C,5,52,520,18,15,13,6,4,4,3,2,2
224,1412,Ccg,1,c,GRA,C,5,52,520,18,15,13,6,4,4,3,2,2
225,1417,NNlPPlPpg,3,N,LAT,N,0,00,000,73,54,33,15,9,8,4,3,2
226,1421,NNlNNlIig,3,N,LAT,N,5,52,520,65,48,31,14,8,7,4,3,2
227,1426,IIlIIlIIlNNlSSSIig,6,S,\N,S,5,51,5115,89,68,41,20,12,10,6,4,3
228,1427,IIlNNl,2,I,LAT,I,5,52,520,24,18,14,7,5,5,3,2,2
229,1428,IIlIIlIIlIig,4,I,LAT,I,9,98,986,8,7,6,4,3,3,2,1,1
230,1436,IigIig,2,i,GRA,I,1,110,1107,49,35,24,10,6,5,3,2,2
231,1446,IigNng,2,n,GRA,N,1,18,180,48,34,23,10,6,5,3,2,2
232,1447,Nng,1,n,GRA,N,1,18,180,16,13,11,6,4,4,3,2,2
233,1448,Nng,1,n,GRA,N,1,18,180,16,13,11,6,4,4,3,2,2
234,1449,Nng,1,n,GRA,N,1,18,180,16,13,11,6,4,4,3,2,2
235,1453,Iig,1,i,GRA,N?,1,18,181,15,12,10,6,4,4,3,2,2
236,1460,Iig,1,i,GRA,I,1,110,11013,15,12,10,6,4,4,3,2,2
237,1461,Iig,1,i,GRA,I,1,18,1817,15,12,10,6,4,4,3,2,2
238,1481,Iig,1,i,GRA,I,1,18,1815,15,12,10,6,4,4,3,2,2
239,1495,IigIig,2,i,GRA,NUM?,3,31,315,49,35,24,10,6,5,3,2,2
240,1496,IigIig,2,i,GRA,NUM?,1,110,1107,49,35,24,10,6,5,3,2,2
241,1500,IigIig,2,i,GRA,NUM?,1,18,1818,49,35,24,10,6,5,3,2,2
242,1502,NNl,1,N,LAT,N,extra moe0ia,extra moe0ia0,extra moe0ia00,17,14,12,6,4,4,3,2,2
243,1503,IIlIigIig,3,i,GRA,N?,1,18,180,80,59,35,16,10,8,4,3,2
244,1504,IIlIigIig,3,i,GRA,N?,1,18,180,80,59,35,16,10,8,4,3,2
245,1505,IIlIigIig,3,i,GRA,N?,1,18,180,80,59,35,16,10,8,4,3,2
246,1506,IIlIigIig,3,i,GRA,N?,1,18,180,80,59,35,16,10,8,4,3,2
247,1507,IIl,1,I,LAT,N?,1,18,180,14,11,9,6,4,4,3,2,2
248,1508,Nng,1,n,GRA,N,1,17,1715,16,13,11,6,4,4,3,2,2
249,1509,Nng,1,n,GRA,N,1,18,1810,16,13,11,6,4,4,3,2,2
250,1510,Nng,1,n,GRA,N,1,17,1715,16,13,11,6,4,4,3,2,2
251,1513,Nng,1,n,GRA,N,1,18,180,16,13,11,6,4,4,3,2,2
252,1514,NngNng,2,n,GRA,N,1,17,1715,35,24,18,8,6,5,3,2,2
253,1517,IigIig,2,i,GRA,NUM?,1,18,1817,49,35,24,10,6,5,3,2,2
254,1518,Iig,1,i,GRA,I,extra moe0ia,extra moe0ia0,extra moe0ia00,15,12,10,6,4,4,3,2,2
255,1533,Nng,1,n,GRA,N,1,17,1715,16,13,11,6,4,4,3,2,2
256,1534,Nng,1,n,GRA,N,1,17,1715,16,13,11,6,4,4,3,2,2
257,1537,Nng,1,n,GRA,N,1,18,1813,16,13,11,6,4,4,3,2,2
258,1538,IigIigPpg,3,i,GRA,I,1,17,1715,75,55,34,16,10,8,4,3,2
259,1540,NngPpg,2,n,GRA,N,1,111,1112,37,25,18,8,6,5,3,2,2
260,1541,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
261,1542,IigNngPpg,3,n,GRA,N,1,18,180,82,61,36,17,10,8,4,3,2
262,1543,IigNngPpg,3,n,GRA,N,1,18,180,82,61,36,17,10,8,4,3,2
263,1544,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
264,1545,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
265,1546,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
266,1547,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
267,1548,NngPpg,2,n,GRA,N,1,18,180,37,25,18,8,6,5,3,2,2
268,1549,IigNng,2,n,GRA,N,1,18,180,48,34,23,10,6,5,3,2,2
269,1550,IigNngPpg,3,n,GRA,N,1,18,180,82,61,36,17,10,8,4,3,2
270,1551,IigNng,2,n,GRA,N,1,18,180,48,34,23,10,6,5,3,2,2
271,1552,IigIigNng,3,n,GRA,N,1,18,1815,84,63,37,17,10,8,4,3,2
272,1553,Nng,1,n,GRA,N,1,18,180,16,13,11,6,4,4,3,2,2
273,1554,Nng,1,n,GRA,N,2,24,247,16,13,11,6,4,4,3,2,2
274,1569,Nng,1,n,GRA,N,1,110,1101,16,13,11,6,4,4,3,2,2
275,1572,SSSIigIig,3,S,\N,S,1,18,180,78,57,34,16,10,8,4,3,2
276,1574,NngNng,2,n,GRA,N,1,17,171,35,24,18,8,6,5,3,2,2
277,1587,IigNng,2,n,GRA,N,1,19,1912,48,34,23,10,6,5,3,2,2
278,1588,IigNng,2,n,GRA,N,1,19,1912,48,34,23,10,6,5,3,2,2
279,1589,IigIig,2,i,GRA,N?,2,24,247,49,35,24,10,6,5,3,2,2
280,1590,Nng,1,n,GRA,N,1,19,1912,16,13,11,6,4,4,3,2,2
281,1597,IIlNNlIig,3,N,LAT,N,1,19,1912,64,47,30,14,8,7,4,3,2
282,1598,IigNng,2,i,GRA,NUM?,2,21,219,48,34,23,10,6,5,3,2,2
283,1603,Iig,1,i,GRA,I,1,19,1912,15,12,10,6,4,4,3,2,2
284,1604,IigNng,2,n,GRA,N,1,19,1912,48,34,23,10,6,5,3,2,2
285,1605,XXlIigIig,3,X,LAT,NUM,1,19,1912,77,56,34,16,10,8,4,3,2
286,1607,IigIigIig,3,i,GRA,N?,1,19,1912,74,55,34,16,10,8,4,3,2
287,1608,IigIig,2,i,GRA,N?,1,19,199,49,35,24,10,6,5,3,2,2
288,1610,Iig,1,i,GRA,N?,2,24,242,15,12,10,6,4,4,3,2,2
289,1617,IigIig,2,i,GRA,NUM?,2,26,266,49,35,24,10,6,5,3,2,2
290,1618,IigIig,2,i,GRA,NUM?,2,21,2111,49,35,24,10,6,5,3,2,2
291,1619,IigIig,2,i,GRA,NUM?,2,21,219,49,35,24,10,6,5,3,2,2
292,1620,IigIig,2,i,GRA,NUM?,2,211,2112,49,35,24,10,6,5,3,2,2
293,1621,IigIig,2,i,GRA,NUM?,2,26,264,49,35,24,10,6,5,3,2,2
294,1623,IigIig,2,i,GRA,NUM?,1,19,199,49,35,24,10,6,5,3,2,2
295,1624,IigIig,2,i,GRA,NUM?,2,21,2111,49,35,24,10,6,5,3,2,2
296,1629,Nng,1,n,GRA,N,2,211,2112,16,13,11,6,4,4,3,2,2
297,1630,NngNng,2,n,GRA,N,1,19,1912,35,24,18,8,6,5,3,2,2
298,1631,NngNng,2,n,GRA,N,1,19,1912,35,24,18,8,6,5,3,2,2
299,1632,Nng,1,n,GRA,N,1,19,1912,16,13,11,6,4,4,3,2,2
300,1633,Nng,1,n,GRA,N,1,19,1912,16,13,11,6,4,4,3,2,2
301,1634,Nng,1,n,GRA,N,1,19,1912,16,13,11,6,4,4,3,2,2
