,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
106,981,IigIigNng,3,n,GRA,N,6,613,61316
107,982,IigIigNng,3,n,GRA,N,6,613,61316
108,995,IigIig,2,i,GRA,N?,9,95,950
109,1002,IigNngPpg,3,n,GRA,N,0,00,000
110,1004,Ppg,1,p,GRA,P,6,614,61438
111,1005,IigPpg,2,i,GRA,I,8,80,805
112,1030,IigIigIigIig,4,i,GRA,P?,0,00,000
113,1032,XXlIig,2,X,LAT,NUM,8,80,8015
114,1033,XXlIig,2,i,GRA,I,8,82,8239
115,1047,IIlIig,2,I,LAT,NUM?,6,613,61313
116,1057,Nng,1,n,GRA,N,5,51,5118
117,1058,Nng,1,n,GRA,N,5,52,520
118,1059,Nng,1,n,GRA,N,5,52,520
119,1060,Nng,1,n,GRA,N,6,616,61611
120,1062,IigNng,2,n,GRA,N,5,52,520
121,1063,IigNng,2,n,GRA,N,5,52,520
122,1064,IigNng,2,n,GRA,N,6,616,61611
123,1080,XXlIig,2,X,LAT,NUM,6,613,61316
124,1086,Nng,1,n,GRA,N,8,80,8015
125,1089,Nng,1,n,GRA,N,5,52,5218
126,1090,Nng,1,n,GRA,N,5,52,521
127,1091,Nng,1,n,GRA,N,5,52,521
128,1092,Nng,1,n,GRA,N,5,52,521
129,1093,Nng,1,n,GRA,N,5,52,521
130,1096,Nng,1,n,GRA,N,0,00,000
131,1097,Nng,1,n,GRA,N,9,97,974
132,1098,Nng,1,n,GRA,N,6,65,657
133,1099,Nng,1,n,GRA,N,0,00,000
134,1100,Nng,1,n,GRA,N,0,00,000
135,1101,Nng,1,n,GRA,N,0,00,000
136,1103,IigNng,2,n,GRA,N,9,92,9217
137,1104,IIlNng,2,I,LAT,I,9,92,9217
138,1105,Nng,1,n,GRA,N,9,92,9217
139,1106,Nng,1,n,GRA,N,9,92,9217
140,1107,IigNng,2,n,GRA,N,9,92,9217
141,1108,IigIigNng,3,i,GRA,NUM?,9,92,9217
142,1109,IigNng,2,i,GRA,I,9,92,9217
143,1110,IigNng,2,i,GRA,I,9,92,9217
144,1111,Nng,1,n,GRA,N,6,613,61316
145,1112,Nng,1,n,GRA,N,6,613,61316
146,1121,Nng,1,n,GRA,N,8,80,8015
147,1125,Nng,1,n,GRA,N,0,00,000
148,1127,IigNng,2,n,GRA,N,0,00,000
149,1128,IigIigNng,3,n,GRA,N,0,00,000
150,1129,IigNng,2,n,GRA,N,6,615,6156
151,1130,IigIigNng,3,n,GRA,N,0,00,000
152,1131,IigIigNng,3,n,GRA,N,0,00,000
153,1132,SSSIigIigIigNng,5,S,\N,S,6,613,61316
154,1133,IigIigNng,3,i,GRA,NUM?,0,00,000
155,1151,IigIig,2,i,GRA,I,0,00,000
156,1156,IIlIigNng,3,n,GRA,N,0,00,000
157,1163,IigIig,2,i,GRA,I,6,613,61316
158,1165,IigIig,2,i,GRA,NUM?,0,00,000
159,1169,NngXxg,2,x,GRA,NUM,0,00,000
160,1174,IigIigNngNngPpg,5,n,GRA,N,5,52,520
161,1175,NNlIigIigNngNngNngPpg,6,n,GRA,N,0,00,000
162,1176,NngPpg,2,p,GRA,P,5,52,520
163,1177,NngPpg,2,n,GRA,N,0,00,000
164,1178,IigNngPpg,3,n,GRA,N,8,80,8015
165,1179,NngPpg,2,n,GRA,N,5,52,520
166,1180,NngPpg,2,n,GRA,N,6,614,61412
167,1181,NngPpgXxg,3,p,GRA,P,8,80,8015
168,1182,NngPpg,2,p,GRA,P,5,52,520
169,1183,NngNngPpg,3,x,GRA,NUM,6,613,61316
170,1184,NngPpg,2,n,GRA,N,0,00,000
171,1185,IigNngPpg,3,n,GRA,N,5,52,520
172,1190,XXlNngPpgXxg,4,X,LAT,NUM,6,613,61316
173,1191,...Iig,2,...,\N,...,5,52,520
174,1195,NngXxgXxg,3,x,GRA,NUM,0,00,000
175,1196,NngXxgXxg,3,n,GRA,N,8,82,8239
176,1210,IigIig,2,i,GRA,NUM?,6,613,61316
177,1211,NngPpg,2,n,GRA,N,5,52,527
178,1213,NngNngPpgXxg,4,n,GRA,N,0,00,000
179,1223,Nng,1,n,GRA,N,8,80,8015
180,1226,Iig,1,i,GRA,NUM?,5,52,520
181,1227,Iig,1,i,GRA,NUM?,5,52,520
182,1228,Iig,1,i,GRA,NUM?,5,52,520
183,1229,Iig,1,i,GRA,NUM?,5,52,520
184,1230,Iig,1,i,GRA,NUM?,5,52,520
185,1240,IigIig,2,i,GRA,NUM?,0,00,000
186,1241,IigIigIig,3,i,GRA,NUM?,0,00,000
187,1245,IigIig,2,i,GRA,N?,9,96,965
188,1246,IigIig,2,i,GRA,N?,9,98,984
189,1247,IigIig,2,i,GRA,N?,6,616,61612
190,1259,IigIigIigNng,4,n,GRA,N,5,52,520
191,1262,IigNng,2,i,GRA,NUM?,9,96,964
192,1263,IigNng,2,i,GRA,I,5,52,5218
193,1273,IigNng,2,i,GRA,I,5,52,520
194,1280,NngNng,2,n,GRA,N,6,613,61316
195,1283,IigIig,2,i,GRA,I,1,12,1220
196,1284,IigIig,2,i,GRA,I,1,12,1220
197,1285,IigIig,2,i,GRA,I,1,12,1220
198,1294,Iig,1,i,GRA,I,6,615,61522
199,1297,IigXxg,2,x,GRA,NUM,5,52,520
200,1300,Nng,1,n,GRA,N,8,82,8229
201,1301,IigNng,2,n,GRA,N,8,80,8015
202,1304,IigNng,2,n,GRA,n,6,613,61316
203,1305,IIlIigNng,3,n,GRA,N,6,614,61438
204,1306,IIlIigNng,3,n,GRA,N,6,614,61438
205,1307,IIlIigNng,3,n,GRA,N,6,614,61438
206,1308,IIlIigNng,3,n,GRA,N,6,614,61438
207,1309,IigIig,2,i,GRA,NUM?,6,614,61438
208,1310,IIlIigIig,3,I,LAT,N?,6,614,61438
209,1311,IIlIigIig,3,I,LAT,N?,6,614,61438
210,1312,IigIig,2,i,GRA,NUM?,6,614,61438
211,1315,IigNng,2,i,GRA,NUM?,9,98,986
212,1316,Iig,1,i,GRA,N?,0,00,000
213,1317,IIlIigIigNng,4,i,GRA,NUM?,9,99,990
214,1319,Iig,1,i,GRA,I,5,52,520
215,1330,IigIig,2,i,GRA,NUM?,0,00,000
216,1332,NNl,1,N,LAT,N,0,00,000
217,1333,IIlNNlIig,3,N,LAT,N,0,00,000
218,1334,NNlIigIigNng,4,N,LAT,N,0,00,000
219,1335,NNlIigIigNng,4,N,LAT,N,0,00,000
220,1352,Iig,1,i,GRA,NUM?,0,00,000
221,1353,IIl,1,I,LAT,I,0,00,000
222,1373,...IigIig,3,...,\N,...,0,00,000
223,1411,Ccg,1,c,GRA,C,5,52,520
224,1412,Ccg,1,c,GRA,C,5,52,520
225,1417,NNlPPlPpg,3,N,LAT,N,0,00,000
226,1421,NNlNNlIig,3,N,LAT,N,5,52,520
227,1426,IIlIIlIIlNNlSSSIig,6,S,\N,S,5,51,5115
228,1427,IIlNNl,2,I,LAT,I,5,52,520
229,1428,IIlIIlIIlIig,4,I,LAT,I,9,98,986
230,1436,IigIig,2,i,GRA,I,1,110,1107
231,1446,IigNng,2,n,GRA,N,1,18,180
232,1447,Nng,1,n,GRA,N,1,18,180
233,1448,Nng,1,n,GRA,N,1,18,180
234,1449,Nng,1,n,GRA,N,1,18,180
235,1453,Iig,1,i,GRA,N?,1,18,181
236,1460,Iig,1,i,GRA,I,1,110,11013
237,1461,Iig,1,i,GRA,I,1,18,1817
238,1481,Iig,1,i,GRA,I,1,18,1815
239,1495,IigIig,2,i,GRA,NUM?,3,31,315
240,1496,IigIig,2,i,GRA,NUM?,1,110,1107
241,1500,IigIig,2,i,GRA,NUM?,1,18,1818
242,1502,NNl,1,N,LAT,N,extra moe0ia,extra moe0ia0,extra moe0ia00
243,1503,IIlIigIig,3,i,GRA,N?,1,18,180
244,1504,IIlIigIig,3,i,GRA,N?,1,18,180
245,1505,IIlIigIig,3,i,GRA,N?,1,18,180
246,1506,IIlIigIig,3,i,GRA,N?,1,18,180
247,1507,IIl,1,I,LAT,N?,1,18,180
248,1508,Nng,1,n,GRA,N,1,17,1715
249,1509,Nng,1,n,GRA,N,1,18,1810
250,1510,Nng,1,n,GRA,N,1,17,1715
251,1513,Nng,1,n,GRA,N,1,18,180
252,1514,NngNng,2,n,GRA,N,1,17,1715
253,1517,IigIig,2,i,GRA,NUM?,1,18,1817
254,1518,Iig,1,i,GRA,I,extra moe0ia,extra moe0ia0,extra moe0ia00
255,1533,Nng,1,n,GRA,N,1,17,1715
256,1534,Nng,1,n,GRA,N,1,17,1715
257,1537,Nng,1,n,GRA,N,1,18,1813
258,1538,IigIigPpg,3,i,GRA,I,1,17,1715
259,1540,NngPpg,2,n,GRA,N,1,111,1112
260,1541,NngPpg,2,n,GRA,N,1,18,180
261,1542,IigNngPpg,3,n,GRA,N,1,18,180
262,1543,IigNngPpg,3,n,GRA,N,1,18,180
263,1544,NngPpg,2,n,GRA,N,1,18,180
264,1545,NngPpg,2,n,GRA,N,1,18,180
265,1546,NngPpg,2,n,GRA,N,1,18,180
266,1547,NngPpg,2,n,GRA,N,1,18,180
267,1548,NngPpg,2,n,GRA,N,1,18,180
268,1549,IigNng,2,n,GRA,N,1,18,180
269,1550,IigNngPpg,3,n,GRA,N,1,18,180
270,1551,IigNng,2,n,GRA,N,1,18,180
271,1552,IigIigNng,3,n,GRA,N,1,18,1815
272,1553,Nng,1,n,GRA,N,1,18,180
273,1554,Nng,1,n,GRA,N,2,24,247
274,1569,Nng,1,n,GRA,N,1,110,1101
275,1572,SSSIigIig,3,S,\N,S,1,18,180
276,1574,NngNng,2,n,GRA,N,1,17,171
277,1587,IigNng,2,n,GRA,N,1,19,1912
278,1588,IigNng,2,n,GRA,N,1,19,1912
279,1589,IigIig,2,i,GRA,N?,2,24,247
280,1590,Nng,1,n,GRA,N,1,19,1912
281,1597,IIlNNlIig,3,N,LAT,N,1,19,1912
282,1598,IigNng,2,i,GRA,NUM?,2,21,219
283,1603,Iig,1,i,GRA,I,1,19,1912
284,1604,IigNng,2,n,GRA,N,1,19,1912
285,1605,XXlIigIig,3,X,LAT,NUM,1,19,1912
286,1607,IigIigIig,3,i,GRA,N?,1,19,1912
287,1608,IigIig,2,i,GRA,N?,1,19,199
288,1610,Iig,1,i,GRA,N?,2,24,242
289,1617,IigIig,2,i,GRA,NUM?,2,26,266
290,1618,IigIig,2,i,GRA,NUM?,2,21,2111
291,1619,IigIig,2,i,GRA,NUM?,2,21,219
292,1620,IigIig,2,i,GRA,NUM?,2,211,2112
293,1621,IigIig,2,i,GRA,NUM?,2,26,264
294,1623,IigIig,2,i,GRA,NUM?,1,19,199
295,1624,IigIig,2,i,GRA,NUM?,2,21,2111
296,1629,Nng,1,n,GRA,N,2,211,2112
297,1630,NngNng,2,n,GRA,N,1,19,1912
298,1631,NngNng,2,n,GRA,N,1,19,1912
299,1632,Nng,1,n,GRA,N,1,19,1912
300,1633,Nng,1,n,GRA,N,1,19,1912
301,1634,Nng,1,n,GRA,N,1,19,1912
302,1635,Nng,1,n,GRA,N,1,19,1912
303,1636,Nng,1,n,GRA,N,1,19,1912
304,1637,Nng,1,n,GRA,N,1,19,1912
305,1638,Nng,1,n,GRA,N,1,19,1912
306,1639,XXlNng,2,n,GRA,N,1,19,1912
307,1640,NNl,1,n,GRA,N,1,19,1912
308,1643,NNl,1,n,GRA,N,8,82,820
309,1644,NNlNng,2,n,GRA,N,2,26,264
310,1645,NNlNng,2,N,LAT,N,2,26,264
311,1646,NNlNng,2,n,GRA,N,2,26,264
312,1649,Nng,1,n,GRA,N,2,29,292
313,1651,Iig,1,i,GRA,N?,1,19,199
314,1652,IigIig,2,i,GRA,P?,2,26,263
315,1653,IigIig,2,i,GRA,N?,1,19,1912
316,1654,IigIig,2,i,GRA,N?,1,19,1912
317,1655,Nng,1,n,GRA,N,2,21,210
318,1657,IigIigNng,3,i,GRA,N?,2,26,263
319,1658,IIlIigIigNng,4,n,GRA,N,1,19,1912
320,1659,IIlIigNng,3,n,GRA,N,1,19,1912
321,1660,IigIigIigIigNngNng,6,n,GRA,N,8,82,820
322,1661,NngPpg,2,n,GRA,N,1,19,1912
323,1662,IigNng,2,n,GRA,N,1,19,1912
324,1663,Nng,1,n,GRA,N,2,26,264
325,1664,Iig,1,i,GRA,I,2,24,242
326,1665,Iig,1,i,GRA,I,2,24,242
327,1667,IigIigNng,3,n,GRA,N,2,21,2110
328,1668,IigIigNng,3,n,GRA,N,2,21,2110
329,1669,IigIigNng,3,n,GRA,N,2,21,2110
330,1670,IigIigIigNng,4,n,GRA,N,2,21,2110
331,1671,Nng,1,n,GRA,N,2,21,2110
332,1674,NngNng,2,n,GRA,N,2,23,2310
333,1675,IigNngNng,3,n,GRA,N,1,19,199
334,1676,IigNngNng,3,n,GRA,N,1,19,199
335,1678,IigIigXxg,3,x,GRA,NUM,2,24,242
336,1679,XXlIigIig,3,x,GRA,NUM,2,27,277
337,1680,Iig,1,i,GRA,I,2,26,266
338,1683,IigIig,2,i,GRA,I,1,19,1912
339,1684,IigIigNngNng,4,n,GRA,N,1,19,199
340,1685,IigIigIig,3,i,GRA,I,1,19,199
341,1686,IigIig,2,i,GRA,NUM?,1,19,191
342,1687,IigIig,2,i,GRA,NUM?,1,19,1912
343,1688,IigIig,2,i,GRA,NUM?,1,19,1912
344,1710,IigNng,2,i,GRA,I,2,29,290
345,1712,NNl,1,N,LAT,N,2,210,2100
346,1721,Nng,1,n,GRA,N,4,414,4140
347,1722,Nng,1,n,GRA,N,4,414,4140
348,1726,XXlNng,2,X,LAT,NUM,4,414,4140
349,1727,XXlNng,2,X,LAT,NUM,4,414,4140
350,1728,Nng,1,n,GRA,N,4,414,4140
351,1729,Nng,1,n,GRA,N,4,414,4140
352,1730,Nng,1,n,GRA,N,4,414,4140
353,1731,Nng,1,n,GRA,N,4,414,4140
354,1732,Nng,1,n,GRA,N,4,414,4140
355,1733,Nng,1,n,GRA,N,4,414,4140
356,1734,Nng,1,n,GRA,N,4,414,4140
357,1735,Nng,1,n,GRA,N,4,414,4140
358,1736,Nng,1,n,GRA,N,4,414,4140
359,1737,Nng,1,n,GRA,N,4,414,4140
360,1738,Nng,1,n,GRA,N,4,414,4140
361,1739,Nng,1,n,GRA,N,4,414,4140
362,1740,Nng,1,n,GRA,N,4,414,4140
363,1741,Nng,1,n,GRA,N,4,414,4140
364,1742,Nng,1,n,GRA,N,4,414,4140
365,1743,Nng,1,n,GRA,N,4,414,4140
366,1744,Nng,1,n,GRA,N,4,414,4140
367,1745,Nng,1,n,GRA,N,4,414,4140
368,1746,Nng,1,n,GRA,N,4,414,4140
369,1747,Nng,1,n,GRA,N,4,414,4140
370,1748,Nng,1,n,GRA,N,4,414,4140
371,1749,Nng,1,n,GRA,N,4,414,4140
372,1750,Nng,1,n,GRA,N,4,414,4140
373,1751,Nng,1,n,GRA,N,4,414,4140
374,1752,Nng,1,n,GRA,N,4,414,4140
375,1753,XXlNng,2,X,LAT,NUM,4,414,4140
376,1754,XXlNng,2,X,LAT,NUM,4,414,4140
377,1755,XXlNng,2,X,LAT,NUM,4,414,4140
378,1756,XXlNng,2,X,LAT,NUM,4,414,4140
379,1757,XXlNng,2,X,LAT,NUM,4,414,4140
380,1758,IigNng,2,n,GRA,N,4,414,4140
381,1764,NNlXXlIig,3,X,LAT,NUM,6,611,6110
382,1775,XXlNng,2,X,LAT,NUM,6,616,61626
383,1789,IIlIigIig,3,I,LAT,I,6,616,61610
384,1791,IigNng,2,i,GRA,NUM?,6,616,61630
385,1795,IigIig,2,i,GRA,NUM?,0,00,000
386,1796,IigNng,2,n,GRA,N,0,00,000
387,1803,IigNng,2,n,GRA,N,0,00,000
388,1819,IIlIIl,2,I,LAT,P?,0,00,000
389,1826,IIlNNl,2,N,LAT,N,1,110,1107
390,1832,IIlNNl,2,N,LAT,N,1,17,1711
391,1839,IIlNNl,2,N,LAT,N,1,16,162
392,1841,IIlNNl,2,N,LAT,N,1,17,1711
393,1843,IIlNNlNNl,3,N,LAT,N,1,110,1104
394,1860,IIlNNlNNl,3,N,LAT,N,1,16,162
395,1879,IIlNNl,2,I,LAT,I,1,18,1810
396,1881,IIl,1,I,LAT,I,2,25,254
397,1888,PPlIig,2,P,LAT,P,1,16,160
398,1889,IIlIIlPPl,3,I,LAT,I,1,18,1819
399,1918,IIlIIl,2,I,LAT,N?,1,16,162
400,1922,IIlIIlNNlXXl,4,X,LAT,NUM,1,18,1819
401,1937,IIlIIl,2,I,LAT,N?,1,17,1711
402,1939,IIlNNl,2,I,LAT,I,1,18,182
403,1940,IIlNNlNNl,3,N,LAT,N,1,16,162
404,1945,IIlNNl,2,N,LAT,N,1,16,162
405,1952,IIlNNl,2,N,LAT,N,1,16,162
406,1954,IIlNNl,2,N,LAT,N,3,34,341
407,1955,IIlIIlNNl,3,I,LAT,N?,1,17,1711
408,1960,NNl,1,N,LAT,N,1,17,1719
409,1962,NNl,1,N,LAT,N,0,00,000
410,1967,NNlIigIig,3,i,GRA,I,3,34,340
411,1968,ΙΝ,2,N,LAT,N,1,18,180
412,1987,NNl,1,N,LAT,N,1,16,160
413,1991,NNlIigNng,3,N,LAT,N,1,110,1104
414,1992,NNl,1,N,LAT,N,1,110,11011
415,1993,NNlXXl,2,X,LAT,NUM,1,18,1812
416,1997,NNl,1,N,LAT,N,1,111,1112
417,2000,NNlXXlXXlNng,4,X,LAT,NUM,1,17,1719
418,2001,NNl,1,N,LAT,N,3,34,341
419,2002,NNl,1,N,LAT,N,3,34,341
420,2003,IIlIIl,2,I,LAT,NUM?,3,34,341
421,2006,IIlIIlNNlNNl,4,N,LAT,N,1,110,1104
422,2013,NNl,1,N,LAT,N,1,17,1715
423,2014,IIlNNl,2,N,LAT,N,1,17,1718
424,2016,NNl,1,N,LAT,N,1,18,180
425,2017,IIlIIlNNl,3,I,LAT,I,1,18,187
426,2021,NNlNNl,2,N,LAT,N,1,18,180
427,2023,NNl,1,N,LAT,N,1,18,1814
428,2024,NNl,1,N,LAT,N,1,17,1715
429,2037,IIlIIlNNl,3,N,LAT,N,extra moe0ia,extra moe0ia0,extra moe0ia00
430,2070,NNl,1,N,LAT,N,1,110,1104
431,2071,IIl,1,I,LAT,I,1,18,1815
432,2074,IIlXXl,2,X,LAT,NUM,2,25,253
433,2076,IIl,1,I,LAT,N?,1,18,1810
434,2082,IIlIig,2,I,LAT,N?,1,18,182
435,2084,IIlIIl,2,I,LAT,I,1,18,1810
436,2085,IIlIIl,2,I,LAT,N?,1,18,1810
437,2091,...IIl,2,...,\N,...,1,18,182
438,2101,IIl,1,I,LAT,I,1,16,160
439,2114,IIlNNl,2,N,LAT,N,3,34,340
440,2125,NNl,1,N,LAT,N,1,18,1818
441,2145,NNlNNl,2,N,LAT,N,1,18,180
442,2146,NNl,1,N,LAT,N,1,18,180
443,2147,NNl,1,N,LAT,N,1,18,180
444,2161,IIlIig,2,i,GRA,I,1,18,180
445,2163,IigIig,2,i,GRA,N?,1,18,180
446,2164,IigIig,2,i,GRA,N?,1,18,180
447,2165,NNlXXl,2,N,LAT,N,1,16,162
448,2171,NNl,1,N,LAT,N,1,17,1719
449,2177,IigIig,2,i,GRA,NUM?,1,18,180
450,2195,IIl,1,I,LAT,I,1,110,1108
451,2200,IIl,1,I,LAT,I,3,31,311
452,2210,XXl,1,X,LAT,NUM,1,18,1815
453,2218,CClIIl,2,I,LAT,I,2,21,219
454,2225,PPl,1,P,LAT,P,2,21,219
455,2229,NNl,1,N,LAT,N,2,21,216
456,2230,...NNlNNlNNl,4,N,LAT,N,1,19,1912
457,2248,IIlNNlNNl,3,N,LAT,N,1,19,1912
458,2250,PPlNng,2,n,GRA,N,1,18,180
459,2260,NNlNngNng,3,n,GRA,N,1,19,1913
460,2289,NNl,1,N,LAT,N,2,24,244
461,2292,IIlNNl,2,N,LAT,N,2,24,2413
462,2298,NNl,1,N,LAT,N,1,19,1911
463,2299,IIlNNl,2,I,LAT,I,1,19,1912
464,2300,NNl,1,N,LAT,N,1,19,1913
465,2301,IIlNNl,2,I,LAT,N?,1,19,193
466,2305,IIl,1,I,LAT,N?,1,19,1912
467,2312,IIlIIlNNl,3,N,LAT,N,1,19,1912
468,2319,IIl,1,I,LAT,I,1,19,198
469,2327,IIlIIl,2,I,LAT,I,1,19,199
470,2330,NNl,1,N,LAT,N,2,211,2111
471,2331,NNl,1,N,LAT,N,1,19,1912
472,2333,NNl,1,N,LAT,N,2,23,234
473,2334,IIl,1,I,LAT,N?,1,19,1912
474,2335,IIlIIl,2,I,LAT,N?,1,19,1912
475,2342,NNlIig,2,N,LAT,N,1,19,1912
476,2352,NNl,1,N,LAT,N,0,00,000
477,2357,Iig,1,i,GRA,NUM?,1,19,198
478,2364,IIl,1,I,LAT,I,0,00,000
479,2375,XXl,1,X,LAT,NUM,1,19,196
480,2432,NNlNNl,2,N,LAT,N,4,40,400
481,2433,IIlNNl,2,N,LAT,N,4,40,400
482,2460,IIlIIl,2,I,LAT,NUM?,4,414,4140
483,2474,IIlNNlIig,3,S,\N,S,4,417,4170
484,2478,NNl,1,N,LAT,N,4,415,4150
485,2503,XXlXXlXXl,3,X,LAT,NUM,2,28,280
486,2534,IIl,1,I,LAT,N?,6,616,61632
487,2544,XXlIig,2,X,LAT,NUM,6,616,61635
488,2548,NNlIigNng,3,N,LAT,N,6,616,61630
489,2549,NNlNNl,2,N,LAT,N,6,616,61630
490,2550,NNlNNl,2,N,LAT,N,6,616,61630
491,2553,NNl,1,N,LAT,N,0,00,000
492,2554,NNl,1,N,LAT,N,0,00,000
493,2555,IIlNNl,2,I,LAT,I,6,616,61626
494,2562,IIlIIlNNlXXl,4,X,LAT,NUM,0,00,000
495,2572,NngXxg,2,n,GRA,N,0,00,000
496,2574,IigIig,2,i,GRA,N?,0,00,000
497,2675,Iig,1,i,GRA,I,2,28,286
498,2683,XXlNng,2,X,LAT,NUM,1,114,1145
499,2684,XXlXXl,2,X,LAT,NUM,1,114,1145
