,INV,CODEX,concepta,REGESTUM,LITTERAE,CONCEPTUM,locR,locI,locA
0,60,IIlNNl,2,N,LAT,N,0,00,000
1,91,IIlNNl,2,N,LAT,N,0,00,000
2,105,NNl,1,N,LAT,N,0,00,000
3,111,NNl,1,N,LAT,N,0,00,000
4,122,NNl,1,N,LAT,N,0,00,000
5,131,NNl,1,N,LAT,N,0,00,000
6,135,IIl,1,I,LAT,I,0,00,000
7,141,IIlNNl,2,I,LAT,I,0,00,000
8,171,...IIl,2,I,LAT,I,0,00,000
9,211,CCl,1,C,LAT,C,0,00,000
10,225,CClIIlIIlNNlPPlPPlXXlXXlXXl,9,I,LAT,I,0,00,000
11,256,IIlNNlNNlXXl,4,N,LAT,N,0,00,000
12,270,IIlNNlPPlXXl,4,N,LAT,N,0,00,000
13,283,IIl,1,I,LAT,P?,0,00,000
14,293,IIlPPl,2,P,LAT,P,0,00,000
15,296,NNlPPl,2,P,LAT,P,8,80,8015
16,360,IIl,1,I,LAT,P?,0,00,000
17,431,IIl,1,I,LAT,I,6,614,61439
18,432,IIl,1,I,LAT,I,8,80,8015
19,433,IIlIIlNNl,3,N,LAT,N,8,80,8015
20,441,IIlNNl,2,N,LAT,N,7,77,775
21,467,IIlNNlXXl,3,I,LAT,I,6,615,6151
22,476,IIlIIlNNl,3,N,LAT,N,6,615,61522
23,478,IIlIIl,2,I,LAT,N?,6,613,61316
24,497,NNl,1,N,LAT,N,9,98,985
25,498,IIlNNl,2,I,LAT,NUM?,0,00,000
26,499,NNl,1,N,LAT,N,9,98,986
27,505,NNl,1,N,LAT,N,6,613,61313
28,515,NNl,1,N,LAT,N,0,00,000
29,516,NNl,1,N,LAT,N,0,00,000
30,517,NNl,1,N,LAT,N,8,82,820
31,518,NNl,1,N,LAT,N,8,80,8016
32,519,NNl,1,N,LAT,N,9,96,968
33,524,NNlNNl,2,N,LAT,N,0,00,000
34,530,NNl,1,N,LAT,N,0,00,000
35,541,NNl,1,N,LAT,N,6,613,61319
36,557,NNlNNl,2,N,LAT,N,0,00,000
37,596,NNlXXlXXlXXlIigIigXxg,7,X,LAT,NUM,0,00,000
38,601,NNlIigIigNng,4,n,GRA,N,0,00,000
39,603,IIlIIl,2,I,LAT,NUM?,9,98,980
40,605,NNlIig,2,N,LAT,N,0,00,000
41,623,NNlNng,2,n,GRA,N,6,65,657
42,636,IIl,1,I,LAT,N?,0,00,000
43,639,IIl,1,I,LAT,N?,0,00,000
44,643,IIlIIlXXlIig,4,I,LAT,N?,0,00,000
45,649,NNl,1,N,LAT,N,9,95,959
46,650,NNl,1,N,LAT,N,9,95,959
47,658,IIl,1,I,LAT,NUM?,9,98,986
48,662,IIlIIlXXlIig,4,X,LAT,NUM,5,52,520
49,663,NNl,1,N,LAT,N,9,98,986
50,664,XXlIig,2,X,LAT,NUM,0,00,000
51,665,XXlIig,2,X,LAT,NUM,6,613,61316
52,666,XXlIig,2,X,LAT,NUM,8,80,8024
53,669,IIl,1,I,LAT,N?,6,614,61438
54,673,IIl,1,I,LAT,N?,6,614,61438
55,674,IIl,1,I,LAT,N?,6,614,61438
56,675,IIl,1,I,LAT,N?,6,614,61438
57,676,IIlIIlIig,3,I,LAT,N?,0,00,000
58,683,NNl,1,N,LAT,N,5,52,520
59,692,IIlNNl,2,N,LAT,N,5,52,520
60,696,IIl,1,I,LAT,I,8,80,8015
61,697,IIlIIlIIl,3,I,LAT,N?,8,80,8015
62,700,IIlXXl,2,I,LAT,I,8,80,8037
63,707,IIl,1,I,LAT,N?,9,98,986
64,720,IIlNNl,2,N,LAT,N,0,00,000
65,721,IIl,1,I,LAT,N?,6,614,61438
66,726,NNlNNl,2,N,LAT,N,9,99,990
67,728,IIl,1,I,LAT,I,9,97,974
68,732,IIlXXl,2,X,LAT,NUM,9,96,965
69,734,XXlIig,2,X,LAT,NUM,8,80,8015
70,744,IIlNNl,2,I,LAT,NUM?,5,52,520
71,752,NNlPPlNng,3,n,GRA,N,6,613,61316
72,753,IIlIIlNNl,3,N,LAT,N,9,97,9720
73,768,IIlIIl,2,I,LAT,N?,8,80,8015
74,769,IIlIIl,2,I,LAT,N?,8,80,8015
75,770,IIlIIl,2,I,LAT,N?,5,52,520
76,771,IIlIIl,2,I,LAT,N?,5,52,520
77,772,IIlIIl,2,I,LAT,N?,9,92,9218
78,779,NNl,1,N,LAT,N,0,00,000
79,780,NNl,1,N,LAT,N,9,98,984
80,783,IIl,1,I,LAT,N?,0,00,000
81,787,NNl,1,N,LAT,N,0,00,000
82,797,IIlIIl,2,I,LAT,NUM?,0,00,000
83,811,IIlIIlIig,3,I,LAT,NUM?,8,80,8015
84,812,IIl,1,I,LAT,I,6,615,61520
85,826,IIlIIl,2,I,LAT,NUM?,8,82,8221
86,838,IIlIIlIIl,3,I,LAT,I,0,00,000
87,842,IIlIIl,2,I,LAT,I,8,80,8015
88,869,IIl,1,I,LAT,I,6,614,61438
89,893,IIl,1,I,LAT,N?,0,00,000
90,902,IIlNNl,2,I,LAT,I,0,00,000
91,913,IIl,1,I,LAT,NUM?,5,52,520
92,956,Nng,1,n,GRA,N,9,95,950
93,957,Iig,1,i,GRA,I,0,00,000
94,963,Nng,1,n,GRA,N,5,52,520
95,970,Nng,1,n,GRA,N,0,00,000
96,971,IigNng,2,n,GRA,N,5,52,521
97,972,Iig,1,i,GRA,I,8,80,8015
98,973,Nng,1,n,GRA,N,0,00,000
99,974,Nng,1,n,GRA,N,6,613,61316
100,975,Nng,1,n,GRA,N,5,52,520
101,976,IigNng,2,n,GRA,N,5,52,520
102,977,NngPpg,2,n,GRA,N,6,613,61316
103,978,IigIigNng,3,n,GRA,N,6,613,61316
104,979,IigIigNng,3,n,GRA,N,6,613,61316
105,980,IigIigNng,3,n,GRA,N,6,613,61316
