,INV,codex,0,1
10,225,['PXXXNIIPF' 'PXXXNIIPC'],PXXXNIIPF,PXXXNIIPC
227,1426,['IXiNIS' 'IXiNI...'],IXiNIS,IXiNI...
444,2161,['ix' 'Ix'],ix,Ix
483,2474,['INS' 'INx'],INS,INx
529,2906,['Ni' 'ni'],Ni,ni
